#============================================================================
# Data Source: 
#   E008R01 US Egg Production Data Set
#   Contributors: Samara Mendez 
#   Date created: 2018-11-08 03:43 PM | Last Updated: 2019-09-03 02:41 PM
#   Identifier: DOI 10.17605/OSF.IO/Z2GXN
#   egg-production.csv (Version: 3)
#   https://osf.io/hmfn3/
#   accessed 2019 October 18 Friday
#
# This comment header added by Daniel J. Greenhoe
#============================================================================
observed_month,prod_type,prod_process,n_hens,n_eggs,source
2016-07-01,hatching eggs,all,57975000,1147000000,ChicEggs-09-23-2016.pdf
2016-08-01,hatching eggs,all,57595000,1142700000,ChicEggs-10-21-2016.pdf
2016-09-01,hatching eggs,all,57161000,1093300000,ChicEggs-11-22-2016.pdf
2016-10-01,hatching eggs,all,56857000,1126700000,ChicEggs-12-23-2016.pdf
2016-11-01,hatching eggs,all,57116000,1096600000,ChicEggs-01-24-2017.pdf
2016-12-01,hatching eggs,all,57750000,1132900000,ChicEggs-02-28-2017.pdf
2017-01-01,hatching eggs,all,57991000,1123400000,ChicEggs-03-21-2017.pdf
2017-02-01,hatching eggs,all,58286000,1014500000,ChicEggs-04-21-2017.pdf
2017-03-01,hatching eggs,all,58735000,1128500000,ChicEggs-05-22-2017.pdf
2017-04-01,hatching eggs,all,59072000,1097200000,ChicEggs-06-23-2017.pdf
2017-05-01,hatching eggs,all,59411000,1138500000,ChicEggs-07-21-2017.pdf
2017-06-01,hatching eggs,all,59952000,1115900000,ChicEggs-08-22-2017.pdf
2017-07-01,hatching eggs,all,60220000,1170800000,ChicEggs-09-22-2017.pdf
2017-08-01,hatching eggs,all,60060000,1167100000,ChicEggs-10-23-2017.pdf
2017-09-01,hatching eggs,all,60202000,1120900000,ChicEggs-11-21-2017.pdf
2017-10-01,hatching eggs,all,60164000,1155000000,ChicEggs-12-22-2017.pdf
2017-11-01,hatching eggs,all,59927000,1112700000,ChicEggs-01-23-2018.pdf
2017-12-01,hatching eggs,all,60242000,1140200000,ChicEggs-02-27-2018.pdf
2018-01-01,hatching eggs,all,60845000,1143100000,ChicEggs-03-23-2018.pdf
2018-02-01,hatching eggs,all,61396000,1045599999.9999999,ChicEggs-04-23-2018.pdf
2018-03-01,hatching eggs,all,61967000,1166900000,ChicEggs-05-22-2018.pdf
2018-04-01,hatching eggs,all,62656000,1141300000,ChicEggs-06-22-2018.pdf
2018-05-01,hatching eggs,all,62789000,1189900000,ChicEggs-07-23-2018.pdf
2018-06-01,hatching eggs,all,62428000,1161400000,ChicEggs-08-21-2018.pdf
2018-07-01,hatching eggs,all,61783000,1199700000,ChicEggs-09-21-2018.pdf
2018-08-01,hatching eggs,all,61242000,1197600000,ChicEggs-10-22-2018.pdf
2018-09-01,hatching eggs,all,60921000,1153700000,ChicEggs-11-20-2018.pdf
2018-10-01,hatching eggs,all,60889000,1184200000,ChicEggs-12-21-2018.pdf
2018-11-01,hatching eggs,all,60878000,1146000000,ChicEggs-12-21-2018.pdf
2018-12-01,hatching eggs,all,61300000,1176500000,ChicEggs-02-26-2019.pdf
2019-01-01,hatching eggs,all,62176000,1181200000,ChicEggs-03-27-2019.pdf
2019-02-01,hatching eggs,all,62757000,1083100000,ChicEggs-04-22-2019.pdf
2019-03-01,hatching eggs,all,62825000,1202400000,ChicEggs-05-21-2019.pdf
2019-04-01,hatching eggs,all,62900000,1165600000,ChicEggs-06-21-2019.pdf
2019-05-01,hatching eggs,all,63211000,1213100000,ChicEggs-07-23-2019.pdf
2019-06-01,hatching eggs,all,62987000,1173700000,ChicEggs-08-23-2019.pdf
2019-07-01,hatching eggs,all,62369000,1207900000,ChicEggs-08-23-2019.pdf
2016-07-01,table eggs,all,299669000,7350500000,ChicEggs-09-23-2016.pdf
2016-08-01,table eggs,all,300917000,7409000000,ChicEggs-10-21-2016.pdf
2016-09-01,table eggs,all,303270000,7204200000,ChicEggs-11-22-2016.pdf
2016-10-01,table eggs,all,305852000,7534700000,ChicEggs-12-23-2016.pdf
2016-11-01,table eggs,all,310728000,7468500000,ChicEggs-01-24-2017.pdf
2016-12-01,table eggs,all,318820000,7950400000,ChicEggs-02-28-2017.pdf
2017-01-01,table eggs,all,318109000,7903500000,ChicEggs-03-21-2017.pdf
2017-02-01,table eggs,all,316807000,7079800000,ChicEggs-04-21-2017.pdf
