%============================================================================
% Daniel J. Greenhoe
% n=1 order B-spline auto-power spectrum data
% M = number of data points approx= 1024
% N = iterations per data point = 1000000
% 2017 June 02 Friday 09:34:59 PM UTC
% The command ileplot{d4_phi.dat} may be used in a LaTeX environment for plotting data.
% \fileplot is available in the LaTeX PSTricks package.
% Reference: http://www.ctan.org/pkg/pstricks
%============================================================================
[
(-8.000000, 0.618167)
(-7.984375, 0.623325)
(-7.968750, 0.628494)
(-7.953125, 0.633673)
(-7.937500, 0.638860)
(-7.921875, 0.644053)
(-7.906250, 0.649252)
(-7.890625, 0.654455)
(-7.875000, 0.659661)
(-7.859375, 0.664869)
(-7.843750, 0.670077)
(-7.828125, 0.675285)
(-7.812500, 0.680490)
(-7.796875, 0.685692)
(-7.781250, 0.690889)
(-7.765625, 0.696081)
(-7.750000, 0.701265)
(-7.734375, 0.706441)
(-7.718750, 0.711607)
(-7.703125, 0.716762)
(-7.687500, 0.721905)
(-7.671875, 0.727034)
(-7.656250, 0.732149)
(-7.640625, 0.737247)
(-7.625000, 0.742329)
(-7.609375, 0.747392)
(-7.593750, 0.752435)
(-7.578125, 0.757457)
(-7.562500, 0.762457)
(-7.546875, 0.767434)
(-7.531250, 0.772386)
(-7.515625, 0.777312)
(-7.500000, 0.782212)
(-7.484375, 0.787083)
(-7.468750, 0.791925)
(-7.453125, 0.796736)
(-7.437500, 0.801515)
(-7.421875, 0.806262)
(-7.406250, 0.810974)
(-7.390625, 0.815651)
(-7.375000, 0.820292)
(-7.359375, 0.824895)
(-7.343750, 0.829460)
(-7.328125, 0.833985)
(-7.312500, 0.838469)
(-7.296875, 0.842911)
(-7.281250, 0.847310)
(-7.265625, 0.851665)
(-7.250000, 0.855975)
(-7.234375, 0.860238)
(-7.218750, 0.864455)
(-7.203125, 0.868623)
(-7.187500, 0.872741)
(-7.171875, 0.876810)
(-7.156250, 0.880827)
(-7.140625, 0.884792)
(-7.125000, 0.888703)
(-7.109375, 0.892561)
(-7.093750, 0.896363)
(-7.078125, 0.900109)
(-7.062500, 0.903798)
(-7.046875, 0.907430)
(-7.031250, 0.911002)
(-7.015625, 0.914515)
(-7.000000, 0.917967)
(-6.984375, 0.921358)
(-6.968750, 0.924687)
(-6.953125, 0.927953)
(-6.937500, 0.931155)
(-6.921875, 0.934293)
(-6.906250, 0.937365)
(-6.890625, 0.940371)
(-6.875000, 0.943310)
(-6.859375, 0.946182)
(-6.843750, 0.948985)
(-6.828125, 0.951720)
(-6.812500, 0.954384)
(-6.796875, 0.956979)
(-6.781250, 0.959503)
(-6.765625, 0.961955)
(-6.750000, 0.964335)
(-6.734375, 0.966643)
(-6.718750, 0.968877)
(-6.703125, 0.971038)
(-6.687500, 0.973124)
(-6.671875, 0.975135)
(-6.656250, 0.977072)
(-6.640625, 0.978932)
(-6.625000, 0.980716)
(-6.609375, 0.982423)
(-6.593750, 0.984054)
(-6.578125, 0.985607)
(-6.562500, 0.987082)
(-6.546875, 0.988478)
(-6.531250, 0.989796)
(-6.515625, 0.991036)
(-6.500000, 0.992196)
(-6.484375, 0.993277)
(-6.468750, 0.994277)
(-6.453125, 0.995198)
(-6.437500, 0.996039)
(-6.421875, 0.996799)
(-6.406250, 0.997479)
(-6.390625, 0.998078)
(-6.375000, 0.998596)
(-6.359375, 0.999033)
(-6.343750, 0.999389)
(-6.328125, 0.999663)
(-6.312500, 0.999857)
(-6.296875, 0.999969)
(-6.281250, 0.999999)
(-6.265625, 0.999949)
(-6.250000, 0.999816)
(-6.234375, 0.999603)
(-6.218750, 0.999308)
(-6.203125, 0.998932)
(-6.187500, 0.998475)
(-6.171875, 0.997937)
(-6.156250, 0.997318)
(-6.140625, 0.996618)
(-6.125000, 0.995838)
(-6.109375, 0.994978)
(-6.093750, 0.994037)
(-6.078125, 0.993016)
(-6.062500, 0.991916)
(-6.046875, 0.990736)
(-6.031250, 0.989477)
(-6.015625, 0.988140)
(-6.000000, 0.986723)
(-5.984375, 0.985229)
(-5.968750, 0.983657)
(-5.953125, 0.982008)
(-5.937500, 0.980281)
