%=============================================================================
% Daniel J. Greenhoe 
% Sunspot auto-correlation function (ACF) data file suitable for use with LaTeX PStricks
% For an example, see "sunspots_acf.tex"
% This file auto-generated using "sunspots.R" --- hand-editing not recommended
%=============================================================================
[
  (  0.00000000,   1.00000000)
  (  0.08333333,   0.91820778)
  (  0.16666667,   0.88587110)
  (  0.25000000,   0.86972571)
  (  0.33333333,   0.85913435)
  (  0.41666667,   0.84453577)
  (  0.50000000,   0.83184029)
  (  0.58333333,   0.81325954)
  (  0.66666667,   0.79973720)
  (  0.75000000,   0.79011127)
  (  0.83333333,   0.77011764)
  (  0.91666667,   0.74790398)
  (  1.00000000,   0.72435266)
  (  1.08333333,   0.69873196)
  (  1.16666667,   0.67597656)
  (  1.25000000,   0.65055731)
  (  1.33333333,   0.61826887)
  (  1.41666667,   0.58871259)
  (  1.50000000,   0.55551563)
  (  1.58333333,   0.52750624)
  (  1.66666667,   0.49686716)
  (  1.75000000,   0.46360393)
  (  1.83333333,   0.43550095)
  (  1.91666667,   0.40870418)
  (  2.00000000,   0.37329070)
  (  2.08333333,   0.34835385)
  (  2.16666667,   0.31523514)
  (  2.25000000,   0.27618762)
  (  2.33333333,   0.24200679)
  (  2.41666667,   0.20891284)
  (  2.50000000,   0.18003774)
  (  2.58333333,   0.14673038)
  (  2.66666667,   0.11914915)
  (  2.75000000,   0.08477803)
  (  2.83333333,   0.05167964)
  (  2.91666667,   0.02042959)
  (  3.00000000,  -0.00905042)
  (  3.08333333,  -0.03789667)
  (  3.16666667,  -0.06555491)
  (  3.25000000,  -0.09437063)
  (  3.33333333,  -0.11770188)
  (  3.41666667,  -0.14372922)
  (  3.50000000,  -0.16944586)
  (  3.58333333,  -0.19529598)
  (  3.66666667,  -0.21549065)
  (  3.75000000,  -0.23680364)
  (  3.83333333,  -0.25909774)
  (  3.91666667,  -0.27798972)
  (  4.00000000,  -0.29803347)
  (  4.08333333,  -0.31728800)
  (  4.16666667,  -0.33241778)
  (  4.25000000,  -0.34630430)
  (  4.33333333,  -0.35847612)
  (  4.41666667,  -0.37227745)
  (  4.50000000,  -0.38486420)
  (  4.58333333,  -0.39768678)
  (  4.66666667,  -0.40699621)
  (  4.75000000,  -0.41767544)
  (  4.83333333,  -0.42649529)
  (  4.91666667,  -0.43339149)
  (  5.00000000,  -0.43459247)
  (  5.08333333,  -0.43676378)
  (  5.16666667,  -0.43787579)
  (  5.25000000,  -0.43895014)
