%=============================================================================
% Daniel J. Greenhoe 
% Sunspot data file suitable for use with LaTeX PStricks / pst-plot
% For an example, see "sunspots_coefs_acf.tex"
% This file auto-generated using "sunspots.R" --- hand-editing not recommended
%=============================================================================
[
  (  0.00000000,   1.00000000)
  (  1.00000000,  -0.03061224)
  (  2.00000000,  -0.01080163)
  (  3.00000000,   0.17716862)
  (  4.00000000,  -0.10377920)
  (  5.00000000,  -0.01240280)
  (  6.00000000,  -0.18881269)
  (  7.00000000,  -0.00203949)
  (  8.00000000,  -0.00707291)
  (  9.00000000,  -0.10972517)
  ( 10.00000000,  -0.02738180)
  ( 11.00000000,  -0.08936575)
  ( 12.00000000,   0.01279114)
  ( 13.00000000,   0.06760951)
  ( 14.00000000,  -0.14138311)
  ( 15.00000000,   0.03901759)
  ( 16.00000000,   0.05162491)
  ( 17.00000000,  -0.10532050)
  ( 18.00000000,   0.02913291)
  ( 19.00000000,   0.09297536)
  ( 20.00000000,   0.02762605)
  ( 21.00000000,   0.01432889)
  ( 22.00000000,   0.05865041)
  ( 23.00000000,  -0.02853256)
  ( 24.00000000,   0.03474539)
  ( 25.00000000,   0.02274275)
  ( 26.00000000,   0.05220807)
  ( 27.00000000,  -0.07727779)
  ( 28.00000000,   0.02514568)
  ( 29.00000000,   0.05386722)
  ( 30.00000000,  -0.05350260)
  ( 31.00000000,  -0.00712250)
  ( 32.00000000,  -0.01632539)
  ( 33.00000000,  -0.02905028)
  ( 34.00000000,  -0.02525554)
  ( 35.00000000,   0.00209225)
  ( 36.00000000,  -0.00687602)
  ( 37.00000000,  -0.05117340)
  ( 38.00000000,   0.05025562)
  ( 39.00000000,   0.05656927)
  ( 40.00000000,  -0.07710061)
  ( 41.00000000,   0.01774074)
  ( 42.00000000,  -0.00731794)
  ( 43.00000000,  -0.02166096)
  ( 44.00000000,   0.01017264)
  ( 45.00000000,  -0.04623406)
  ( 46.00000000,   0.01867371)
  ( 47.00000000,   0.00992180)
  ( 48.00000000,   0.00162154)
  ( 49.00000000,  -0.03158402)
  ( 50.00000000,   0.01722569)
  ( 51.00000000,   0.08430666)
  ( 52.00000000,  -0.03749544)
  ( 53.00000000,  -0.00435668)
  ( 54.00000000,   0.03617006)
  ( 55.00000000,  -0.04943963)
  ( 56.00000000,  -0.02636304)
  ( 57.00000000,  -0.02411615)
  ( 58.00000000,   0.00390740)
  ( 59.00000000,   0.02635497)
  ( 60.00000000,   0.02585547)
  ( 61.00000000,   0.00048781)
  ( 62.00000000,  -0.01730204)
  ( 63.00000000,  -0.00872520)
  ( 64.00000000,  -0.03508026)
  ( 65.00000000,  -0.01628096)
  ( 66.00000000,  -0.01126573)
  ( 67.00000000,   0.01860596)
  ( 68.00000000,  -0.03633853)
  ( 69.00000000,   0.00972141)
  ( 70.00000000,   0.03056408)
  ( 71.00000000,  -0.01047352)
  ( 72.00000000,   0.00708258)
  ( 73.00000000,   0.00505223)
  ( 74.00000000,   0.00155092)
  ( 75.00000000,  -0.02815174)
  ( 76.00000000,   0.02740868)
  ( 77.00000000,   0.02011515)
  ( 78.00000000,   0.00912056)
  ( 79.00000000,   0.00753805)
  ( 80.00000000,   0.00701661)
  ( 81.00000000,  -0.00868077)
  ( 82.00000000,  -0.00995465)
  ( 83.00000000,  -0.00450079)
  ( 84.00000000,   0.00927446)
  ( 85.00000000,   0.00883336)
  ( 86.00000000,  -0.02770495)
  ( 87.00000000,   0.01012862)
  ( 88.00000000,  -0.01880900)
  ( 89.00000000,   0.01890905)
  ( 90.00000000,   0.00774813)
  ( 91.00000000,  -0.01142705)
  ( 92.00000000,   0.02994347)
  ( 93.00000000,  -0.01005072)
  ( 94.00000000,  -0.02901060)
  ( 95.00000000,   0.01241782)
  ( 96.00000000,  -0.00812882)
  ( 97.00000000,  -0.01781799)
  ( 98.00000000,   0.00744329)
  ( 99.00000000,  -0.00865641)
]
