%=============================================================================
% Daniel J. Greenhoe 
% Sunspot data file suitable for use with LaTeX PStricks / pst-plot
% For an example, see "sunspots_dft_acf.tex"
% This file auto-generated using "sunspots.R" --- hand-editing not recommended
%=============================================================================
[
  (  0,   1.00000000)
  (  1,   0.20979104)
  (  2,   0.13027534)
  (  3,   0.08360065)
  (  4,   0.19552954)
  (  5,   0.04832059)
  (  6,   0.11577411)
  (  7,   0.10544874)
  (  8,   0.18681569)
  (  9,   0.03358991)
  ( 10,   0.13393155)
  ( 11,   0.13563449)
  ( 12,   0.04497458)
  ( 13,   0.05352446)
  ( 14,   0.20758732)
  ( 15,   0.31142976)
  ( 16,   0.16832788)
  ( 17,   0.08559628)
  ( 18,   0.05907760)
  ( 19,   0.07549663)
  ( 20,   0.02705333)
  ( 21,   0.03801115)
  ( 22,   0.04071535)
  ( 23,   0.04507905)
  ( 24,   0.01597036)
  ( 25,   0.03923868)
  ( 26,   0.00843691)
  ( 27,   0.00830486)
  ( 28,   0.01885677)
  ( 29,   0.02413313)
  ( 30,   0.04017384)
  ( 31,   0.06242818)
  ( 32,   0.04076445)
  ( 33,   0.03279385)
  ( 34,   0.00794843)
  ( 35,   0.03579379)
  ( 36,   0.02800525)
  ( 37,   0.03044343)
  ( 38,   0.01676335)
  ( 39,   0.01612690)
  ( 40,   0.01576894)
  ( 41,   0.02456992)
  ( 42,   0.01195909)
  ( 43,   0.02287711)
  ( 44,   0.00837720)
  ( 45,   0.02405577)
  ( 46,   0.02456397)
  ( 47,   0.03055323)
  ( 48,   0.02698695)
  ( 49,   0.02692580)
  ( 50,   0.02392621)
  ( 51,   0.03279884)
  ( 52,   0.03031927)
  ( 53,   0.01592769)
  ( 54,   0.00799409)
  ( 55,   0.02015732)
  ( 56,   0.01380478)
  ( 57,   0.02306008)
  ( 58,   0.02598084)
  ( 59,   0.02217150)
  ( 60,   0.02384174)
  ( 61,   0.01632576)
  ( 62,   0.02351935)
  ( 63,   0.03873816)
  ( 64,   0.01743904)
  ( 65,   0.01921951)
  ( 66,   0.02549898)
  ( 67,   0.02650475)
  ( 68,   0.01495484)
  ( 69,   0.00923875)
  ( 70,   0.03186558)
  ( 71,   0.00901985)
  ( 72,   0.03260795)
  ( 73,   0.02751390)
  ( 74,   0.01870512)
  ( 75,   0.02501607)
  ( 76,   0.02041642)
  ( 77,   0.00424797)
  ( 78,   0.01534021)
  ( 79,   0.02009009)
  ( 80,   0.01405710)
  ( 81,   0.00650984)
  ( 82,   0.01200544)
  ( 83,   0.01796369)
  ( 84,   0.00853836)
  ( 85,   0.00697762)
  ( 86,   0.01399637)
  ( 87,   0.01447022)
  ( 88,   0.01727547)
  ( 89,   0.02000466)
  ( 90,   0.01523065)
  ( 91,   0.01544203)
  ( 92,   0.01677864)
  ( 93,   0.00870936)
  ( 94,   0.01958566)
  ( 95,   0.01004783)
  ( 96,   0.00926751)
  ( 97,   0.02328249)
  ( 98,   0.02003121)
  ( 99,   0.01714566)
]
