%=============================================================================
% Daniel J. Greenhoe 
% Sunspot data file suitable for use with LaTeX PStricks / pst-plot
% For an example, see "sunspots_dft_coefs.tex"
% This file auto-generated using "sunspots.R" --- hand-editing not recommended
%=============================================================================
[
  (  0.00000000,      0.00000000)
  (  0.00600000,     10.60746113)
  (  0.01200000,     -6.70382152)
  (  0.01800000,     -2.62295207)
  (  0.02400000,     -7.64659247)
  (  0.03000000,     -3.40148427)
  (  0.03600000,     -1.81077252)
  (  0.04200000,     -1.46892729)
  (  0.04800000,      0.05602182)
  (  0.05400000,      2.29193803)
  (  0.06000000,     -1.50722117)
  (  0.06600000,      0.30200748)
  (  0.07200000,     -0.59939981)
  (  0.07800000,     -5.91614336)
  (  0.08400000,     -5.14748450)
  (  0.09000000,     -8.66701258)
  (  0.09600000,     -1.30681702)
  (  0.10200000,     11.50988835)
  (  0.10800000,      2.94880274)
  (  0.11400000,      2.84041636)
  (  0.12000000,     -2.87599161)
  (  0.12600000,      0.76374903)
  (  0.13200000,      1.02570703)
  (  0.13800000,     -1.66342073)
  (  0.14400000,     -0.11752404)
  (  0.15000000,      1.44412964)
  (  0.15600000,      2.25412296)
  (  0.16200000,      1.75257375)
  (  0.16800000,      2.26246112)
  (  0.17400000,      3.68928427)
  (  0.18000000,      1.47973657)
  (  0.18600000,     -4.13064664)
  (  0.19200000,      2.18684963)
  (  0.19800000,     -0.82101522)
  (  0.20400000,      0.14960379)
  (  0.21000000,     -1.84903486)
  (  0.21600000,     -0.95050147)
  (  0.22200000,      0.32987331)
  (  0.22800000,     -0.04086447)
  (  0.23400000,      0.01094936)
  (  0.24000000,     -0.49694766)
  (  0.24600000,     -0.11545302)
  (  0.25200000,      0.75570833)
  (  0.25800000,     -0.76587721)
  (  0.26400000,      0.15875352)
  (  0.27000000,     -1.21270475)
  (  0.27600000,     -1.20569823)
  (  0.28200000,      0.03370297)
  (  0.28800000,      0.51921906)
  (  0.29400000,      0.11135536)
  (  0.30000000,     -0.50831382)
  (  0.30600000,     -1.16930142)
  (  0.31200000,      0.90980804)
  (  0.31800000,      0.40971309)
  (  0.32400000,     -0.03088248)
  (  0.33000000,     -0.15503197)
  (  0.33600000,      0.05005691)
  (  0.34200000,      0.65335953)
  (  0.34800000,      0.05547327)
  (  0.35400000,      0.16568881)
  (  0.36000000,      0.39841345)
  (  0.36600000,     -0.37541539)
  (  0.37200000,      0.09053228)
  (  0.37800000,      0.81713463)
  (  0.38400000,     -0.42167292)
  (  0.39000000,     -0.14934087)
  (  0.39600000,     -0.91128626)
  (  0.40200000,     -1.33975105)
  (  0.40800000,      0.29568125)
  (  0.41400000,     -0.14219377)
  (  0.42000000,      0.22135563)
  (  0.42600000,     -0.33610107)
  (  0.43200000,      0.69405505)
  (  0.43800000,      0.76989162)
  (  0.44400000,      0.37169283)
  (  0.45000000,     -0.47703386)
  (  0.45600000,     -0.59482979)
  (  0.46200000,     -0.80902699)
  (  0.46800000,     -0.49661996)
  (  0.47400000,      1.42253507)
  (  0.48000000,      0.44130661)
  (  0.48600000,      0.28314093)
  (  0.49200000,      0.42434936)
  (  0.49800000,     -0.59874280)
  (  0.50400000,      0.19618235)
  (  0.51000000,     -0.94539626)
  (  0.51600000,     -0.27957029)
  (  0.52200000,     -0.95161337)
  (  0.52800000,     -0.93371446)
  (  0.53400000,      0.39825082)
  (  0.54000000,      1.27607590)
  (  0.54600000,     -0.06906363)
  (  0.55200000,     -0.18377516)
  (  0.55800000,     -0.21664535)
  (  0.56400000,     -0.28200730)
  (  0.57000000,      0.40017301)
  (  0.57600000,      0.23067054)
  (  0.58200000,      0.40523832)
  (  0.58800000,      0.13616891)
  (  0.59400000,     -0.18328257)
  (  0.60000000,      0.35921585)
  (  0.60600000,      0.42421749)
  (  0.61200000,      0.09009013)
  (  0.61800000,      0.34755840)
  (  0.62400000,     -0.52330698)
  (  0.63000000,      0.15804419)
  (  0.63600000,      0.32180404)
  (  0.64200000,     -0.70357377)
  (  0.64800000,      0.86347038)
  (  0.65400000,     -0.65493088)
  (  0.66000000,      0.15469597)
  (  0.66600000,     -0.38622462)
  (  0.67200000,     -0.63056402)
  (  0.67800000,      0.64444864)
  (  0.68400000,      0.13106305)
  (  0.69000000,     -0.41972566)
  (  0.69600000,     -0.16193515)
  (  0.70200000,     -0.13346866)
  (  0.70800000,     -0.44345268)
  (  0.71400000,      0.55189191)
  (  0.72000000,     -0.67119456)
  (  0.72600000,     -0.36006779)
  (  0.73200000,      0.00928320)
  (  0.73800000,     -0.08463510)
  (  0.74400000,      0.38911516)
  (  0.75000000,     -0.16957556)
  (  0.75600000,      0.25052866)
  (  0.76200000,     -0.00706627)
  (  0.76800000,     -0.64808568)
  (  0.77400000,      0.82271064)
  (  0.78000000,     -0.55455003)
  (  0.78600000,     -0.16660251)
  (  0.79200000,     -0.13230535)
  (  0.79800000,     -0.10928472)
  (  0.80400000,     -0.66837119)
  (  0.81000000,      0.84906731)
  (  0.81600000,     -0.35914029)
  (  0.82200000,      0.87309317)
  (  0.82800000,     -0.37506872)
  (  0.83400000,      0.05676554)
  (  0.84000000,      0.23361668)
