%=============================================================================
% Daniel J. Greenhoe 
% Sunspot data file suitable for use with LaTeX PStricks / pst-plot
% For an example, see "sunspots_dft_coefs.tex"
% This file auto-generated using "sunspots.R" --- hand-editing not recommended
%=============================================================================
[
  (  0.00000000,     -0.00000000)
  (  0.00600000,     -4.66278508)
  (  0.01200000,     -0.23755665)
  (  0.01800000,     -3.57370072)
  (  0.02400000,     -2.91641781)
  (  0.03000000,      1.21235682)
  (  0.03600000,     -4.26206857)
  (  0.04200000,     -4.18230841)
  (  0.04800000,      2.95476611)
  (  0.05400000,     -0.83868890)
  (  0.06000000,      0.72953255)
  (  0.06600000,     -2.68203437)
  (  0.07200000,     -3.65714830)
  (  0.07800000,     -2.02523459)
  (  0.08400000,    -15.02765777)
  (  0.09000000,    -23.38073435)
  (  0.09600000,     21.16603888)
  (  0.10200000,     -5.56141082)
  (  0.10800000,      4.73181290)
  (  0.11400000,     -4.02857799)
  (  0.12000000,     -1.42664961)
  (  0.12600000,      6.45824177)
  (  0.13200000,      1.35705682)
  (  0.13800000,     -0.15433945)
  (  0.14400000,      0.32492307)
  (  0.15000000,     -1.38253135)
  (  0.15600000,      1.12227875)
  (  0.16200000,     -0.85643645)
  (  0.16800000,     -0.92206680)
  (  0.17400000,      1.73716837)
  (  0.18000000,      0.05375856)
  (  0.18600000,      2.08902654)
  (  0.19200000,      4.04169688)
  (  0.19800000,     -0.68341764)
  (  0.20400000,      2.36057294)
  (  0.21000000,     -0.97896467)
  (  0.21600000,      1.03661827)
  (  0.22200000,      0.38945297)
  (  0.22800000,     -0.33740561)
  (  0.23400000,     -0.30503529)
  (  0.24000000,      0.50227936)
  (  0.24600000,     -1.37720066)
  (  0.25200000,     -0.13184649)
  (  0.25800000,      0.49369966)
  (  0.26400000,      1.36591236)
  (  0.27000000,      0.20786005)
  (  0.27600000,     -0.15805875)
  (  0.28200000,      0.58722144)
  (  0.28800000,     -1.47069011)
  (  0.29400000,      0.56862488)
  (  0.30000000,     -0.36397942)
  (  0.30600000,      1.10528708)
  (  0.31200000,      1.67901020)
  (  0.31800000,     -0.03221793)
  (  0.32400000,     -0.06838599)
  (  0.33000000,      0.13486917)
  (  0.33600000,     -0.02698991)
  (  0.34200000,     -0.32753787)
  (  0.34800000,      0.07095046)
  (  0.35400000,     -1.02209810)
  (  0.36000000,     -0.67052541)
  (  0.36600000,      0.30993818)
  (  0.37200000,      0.45322124)
  (  0.37800000,      0.94076791)
  (  0.38400000,     -0.13230717)
  (  0.39000000,     -0.03225357)
  (  0.39600000,     -0.65322560)
  (  0.40200000,      0.56656330)
  (  0.40800000,      0.32785582)
  (  0.41400000,      0.41258435)
  (  0.42000000,     -0.78694908)
  (  0.42600000,      0.47606807)
  (  0.43200000,      1.74024076)
  (  0.43800000,     -0.03423078)
  (  0.44400000,      0.56672536)
  (  0.45000000,     -0.03071847)
  (  0.45600000,     -0.37188041)
  (  0.46200000,      0.27519367)
  (  0.46800000,     -1.20148165)
  (  0.47400000,      0.29983688)
  (  0.48000000,     -0.38779427)
  (  0.48600000,     -0.24097545)
  (  0.49200000,      0.27383761)
  (  0.49800000,     -0.29302119)
  (  0.50400000,      0.36647795)
  (  0.51000000,      1.43251701)
  (  0.51600000,      0.05178122)
  (  0.52200000,     -0.44152803)
  (  0.52800000,      0.13376255)
  (  0.53400000,     -0.05101999)
  (  0.54000000,     -0.09715557)
  (  0.54600000,     -0.42000208)
  (  0.55200000,      0.12596841)
  (  0.55800000,      0.64356678)
  (  0.56400000,     -0.55411602)
  (  0.57000000,      1.00123948)
  (  0.57600000,      0.02472285)
  (  0.58200000,     -0.71184180)
  (  0.58800000,      0.03776325)
  (  0.59400000,     -0.47961310)
  (  0.60000000,     -0.54382022)
  (  0.60600000,      0.58723152)
  (  0.61200000,      0.51218938)
  (  0.61800000,      0.77926308)
  (  0.62400000,     -0.02365870)
  (  0.63000000,      0.42818092)
  (  0.63600000,     -0.36497670)
  (  0.64200000,      0.20378943)
  (  0.64800000,      0.03364803)
  (  0.65400000,     -0.00087742)
  (  0.66000000,     -0.18226941)
  (  0.66600000,      0.00756294)
  (  0.67200000,     -0.23896544)
  (  0.67800000,      0.56372222)
  (  0.68400000,     -0.68704218)
  (  0.69000000,      0.63831978)
  (  0.69600000,     -0.77338712)
  (  0.70200000,      0.59298098)
  (  0.70800000,      0.38441924)
  (  0.71400000,      0.34681806)
  (  0.72000000,      0.17032017)
  (  0.72600000,      0.02324102)
  (  0.73200000,      0.09055314)
  (  0.73800000,     -1.03565869)
  (  0.74400000,      0.72172629)
  (  0.75000000,     -0.60764140)
  (  0.75600000,      0.70017888)
  (  0.76200000,     -0.00990020)
  (  0.76800000,     -0.31347233)
  (  0.77400000,      0.55889973)
  (  0.78000000,     -0.55565478)
  (  0.78600000,      0.70474966)
  (  0.79200000,     -0.86536779)
  (  0.79800000,     -0.31315968)
  (  0.80400000,     -0.68478795)
  (  0.81000000,      0.19645702)
  (  0.81600000,      0.84171374)
  (  0.82200000,     -0.28867733)
  (  0.82800000,      0.58623050)
  (  0.83400000,     -0.21029298)
  (  0.84000000,      0.28094486)
  (  0.84600000,     -0.04033990)
  (  0.85200000,      0.28763103)
  (  0.85800000,      0.42352795)
  (  0.86400000,     -0.72632881)
  (  0.87000000,     -0.15182108)
  (  0.87600000,     -0.20601227)
  (  0.88200000,      0.40762292)
  (  0.88800000,      0.07084488)
  (  0.89400000,      0.03825392)
  (  0.90000000,     -0.56493318)
  (  0.90600000,      0.41927107)
  (  0.91200000,     -0.43130696)
  (  0.91800000,      0.96855433)
  (  0.92400000,     -0.07129550)
  (  0.93000000,     -0.81321447)
  (  0.93600000,     -1.12253831)
  (  0.94200000,      0.67424751)
  (  0.94800000,     -0.18654936)
  (  0.95400000,      0.72231627)
  (  0.96000000,      0.64635952)
  (  0.96600000,     -0.54892646)
  (  0.97200000,      0.18486459)
  (  0.97800000,      0.37106655)
  (  0.98400000,     -0.50702149)
  (  0.99000000,     -0.22055171)
  (  0.99600000,     -1.31704271)
  (  1.00200000,      0.85653878)
  (  1.00800000,     -0.07188888)
  (  1.01400000,      0.68664804)
  (  1.02000000,      0.67378123)
  (  1.02600000,     -0.06973447)
  (  1.03200000,      0.26414185)
  (  1.03800000,      0.46231008)
  (  1.04400000,     -0.82006662)
  (  1.05000000,      0.38442233)
  (  1.05600000,      0.78219031)
  (  1.06200000,     -0.37845722)
  (  1.06800000,      0.15349044)
  (  1.07400000,     -0.11892755)
  (  1.08000000,     -0.30778833)
  (  1.08600000,      1.09100126)
  (  1.09200000,     -0.81263516)
  (  1.09800000,     -0.33800245)
  (  1.10400000,     -0.50222861)
  (  1.11000000,      0.03619696)
  (  1.11600000,     -0.61248610)
  (  1.12200000,     -0.87193536)
  (  1.12800000,     -0.09698385)
  (  1.13400000,      0.92335859)
  (  1.14000000,      0.35611379)
  (  1.14600000,     -0.24748277)
  (  1.15200000,      0.01081110)
  (  1.15800000,      0.29906867)
  (  1.16400000,      0.27107017)
  (  1.17000000,     -0.71526743)
  (  1.17600000,     -0.27071577)
  (  1.18200000,     -0.03966056)
  (  1.18800000,     -0.25259183)
  (  1.19400000,      0.15859669)
  (  1.20000000,      0.16490226)
  (  1.20600000,      0.44512364)
  (  1.21200000,     -0.56230900)
  (  1.21800000,     -0.04252185)
  (  1.22400000,     -0.36430565)
  (  1.23000000,      0.41404071)
  (  1.23600000,      0.52731520)
  (  1.24200000,     -0.15146529)
  (  1.24800000,      0.01336723)
  (  1.25400000,     -0.18077488)
  (  1.26000000,     -0.23920305)
  (  1.26600000,      0.45033541)
  (  1.27200000,      0.62786998)
  (  1.27800000,     -0.08561419)
  (  1.28400000,     -0.37748080)
  (  1.29000000,      0.16704336)
  (  1.29600000,     -0.50784225)
  (  1.30200000,      0.70473470)
  (  1.30800000,     -1.15110914)
  (  1.31400000,      0.18558614)
  (  1.32000000,     -0.71821081)
  (  1.32600000,     -0.06063556)
  (  1.33200000,      0.12221232)
  (  1.33800000,     -0.22127906)
  (  1.34400000,      0.21462143)
  (  1.35000000,      0.01711689)
  (  1.35600000,      0.28235221)
  (  1.36200000,     -0.06095880)
  (  1.36800000,      0.42042505)
  (  1.37400000,      0.20033754)
  (  1.38000000,     -0.06873638)
  (  1.38600000,     -0.00585162)
  (  1.39200000,      0.49053100)
  (  1.39800000,      0.38196968)
  (  1.40400000,     -0.22660544)
  (  1.41000000,      0.50576353)
  (  1.41600000,     -0.16132456)
  (  1.42200000,     -0.16499596)
  (  1.42800000,     -0.06632430)
  (  1.43400000,     -0.06293516)
  (  1.44000000,     -0.64439908)
  (  1.44600000,     -0.61169441)
  (  1.45200000,      0.40868295)
  (  1.45800000,     -0.32271091)
  (  1.46400000,      0.22068838)
  (  1.47000000,      0.03318842)
  (  1.47600000,     -0.77185738)
  (  1.48200000,      0.15451745)
  (  1.48800000,      0.23783496)
  (  1.49400000,      0.12581912)
  (  1.50000000,      0.12063002)
  (  1.50600000,      0.80158854)
  (  1.51200000,     -0.01233041)
  (  1.51800000,     -0.55780462)
  (  1.52400000,     -0.23437588)
  (  1.53000000,      0.57572392)
  (  1.53600000,     -0.43631256)
  (  1.54200000,      0.33851836)
  (  1.54800000,     -0.38540469)
  (  1.55400000,      0.06614830)
  (  1.56000000,      0.55755780)
  (  1.56600000,      0.43346422)
  (  1.57200000,     -0.27456211)
  (  1.57800000,      0.13865729)
  (  1.58400000,      0.00566453)
  (  1.59000000,     -0.05345339)
  (  1.59600000,     -0.63375299)
  (  1.60200000,      0.12429770)
  (  1.60800000,      0.61687714)
  (  1.61400000,     -0.50001579)
  (  1.62000000,     -0.03585070)
  (  1.62600000,     -0.24575639)
  (  1.63200000,      0.00042569)
  (  1.63800000,      0.21165064)
  (  1.64400000,      0.32195391)
  (  1.65000000,     -0.84558100)
  (  1.65600000,      0.08964203)
  (  1.66200000,      0.01922275)
  (  1.66800000,      0.12325175)
  (  1.67400000,      0.23716601)
  (  1.68000000,      0.24421006)
  (  1.68600000,      0.79335054)
  (  1.69200000,     -0.18171203)
  (  1.69800000,     -0.21480833)
  (  1.70400000,      0.34958674)
  (  1.71000000,     -0.60482179)
  (  1.71600000,     -0.25054891)
  (  1.72200000,     -0.42430781)
  (  1.72800000,     -0.02282637)
  (  1.73400000,     -0.08214697)
  (  1.74000000,      0.51495571)
  (  1.74600000,      0.28039739)
  (  1.75200000,      0.19439665)
  (  1.75800000,     -0.02277193)
  (  1.76400000,      0.06297587)
  (  1.77000000,      0.18690312)
  (  1.77600000,     -0.06169754)
  (  1.78200000,      0.43236507)
  (  1.78800000,      0.02416601)
  (  1.79400000,     -0.00002883)
  (  1.80000000,     -0.15042529)
  (  1.80600000,     -0.13082178)
  (  1.81200000,      0.53217558)
  (  1.81800000,      0.11385559)
  (  1.82400000,     -0.19320930)
  (  1.83000000,     -0.29800166)
  (  1.83600000,     -0.46195326)
  (  1.84200000,     -0.06810169)
  (  1.84800000,      0.16326481)
  (  1.85400000,      0.16797810)
  (  1.86000000,      0.09708162)
  (  1.86600000,     -0.48808991)
  (  1.87200000,      0.20718808)
  (  1.87800000,      0.02884360)
  (  1.88400000,      0.15752468)
  (  1.89000000,      0.14578259)
  (  1.89600000,     -0.13308087)
  (  1.90200000,     -0.71216775)
  (  1.90800000,      0.78395181)
  (  1.91400000,      0.14309568)
  (  1.92000000,      0.01340720)
  (  1.92600000,      0.30520177)
  (  1.93200000,      0.00639460)
  (  1.93800000,     -0.59595446)
  (  1.94400000,      0.50155157)
  (  1.95000000,     -0.06640134)
  (  1.95600000,      0.30912106)
  (  1.96200000,     -0.61463649)
  (  1.96800000,      0.30149787)
  (  1.97400000,     -0.20637238)
  (  1.98000000,      0.18347855)
  (  1.98600000,      0.20633585)
  (  1.99200000,      0.18675497)
  (  1.99800000,      0.09674829)
  (  2.00400000,      0.43909780)
  (  2.01000000,      0.25487328)
  (  2.01600000,      0.11698782)
  (  2.02200000,     -0.07132975)
  (  2.02800000,     -0.41944247)
  (  2.03400000,     -0.10081536)
  (  2.04000000,      0.34044454)
  (  2.04600000,      0.27432304)
  (  2.05200000,      0.06505930)
  (  2.05800000,     -0.05507021)
  (  2.06400000,      0.18464352)
  (  2.07000000,     -0.09048783)
  (  2.07600000,     -0.44955727)
  (  2.08200000,     -0.21655894)
  (  2.08800000,     -0.24824446)
  (  2.09400000,     -0.27052476)
  (  2.10000000,     -0.04716573)
  (  2.10600000,      0.04703275)
  (  2.11200000,      0.23436141)
  (  2.11800000,      0.39459763)
  (  2.12400000,      0.13787340)
  (  2.13000000,     -0.79567705)
  (  2.13600000,      0.12082586)
  (  2.14200000,     -0.00504412)
  (  2.14800000,     -0.04126512)
  (  2.15400000,     -0.23567972)
  (  2.16000000,     -0.15201557)
  (  2.16600000,      0.57891442)
  (  2.17200000,      0.32084591)
  (  2.17800000,     -0.30609250)
  (  2.18400000,     -0.06711313)
  (  2.19000000,      0.41153999)
  (  2.19600000,      0.08436683)
  (  2.20200000,     -0.19660533)
  (  2.20800000,     -0.19462104)
  (  2.21400000,     -0.18991036)
  (  2.22000000,      0.60955708)
  (  2.22600000,     -0.27909957)
  (  2.23200000,      0.43135562)
  (  2.23800000,     -0.33731942)
  (  2.24400000,      0.77414639)
  (  2.25000000,     -0.05315297)
  (  2.25600000,     -0.23325295)
  (  2.26200000,     -0.23359389)
  (  2.26800000,      0.21338873)
  (  2.27400000,     -0.18361637)
  (  2.28000000,     -0.21918454)
  (  2.28600000,      0.61128865)
  (  2.29200000,      0.05751267)
  (  2.29800000,     -0.04616923)
  (  2.30400000,     -0.44242964)
  (  2.31000000,     -0.17007226)
  (  2.31600000,      1.11433277)
  (  2.32200000,     -0.08717573)
  (  2.32800000,      0.12539143)
  (  2.33400000,     -1.12221482)
  (  2.34000000,      0.93348627)
  (  2.34600000,     -0.28074791)
  (  2.35200000,      0.24735417)
  (  2.35800000,     -0.78865733)
  (  2.36400000,      0.19381947)
  (  2.37000000,      0.33385087)
  (  2.37600000,      0.27358282)
  (  2.38200000,     -0.03214112)
  (  2.38800000,     -0.37435114)
  (  2.39400000,      0.03982869)
  (  2.40000000,     -0.75342155)
  (  2.40600000,     -0.23815267)
  (  2.41200000,      0.34131339)
  (  2.41800000,      0.30960062)
  (  2.42400000,     -0.04071431)
  (  2.43000000,     -0.44373692)
  (  2.43600000,      0.04689877)
  (  2.44200000,      0.18812009)
  (  2.44800000,      0.28040722)
  (  2.45400000,     -0.36368980)
  (  2.46000000,      0.20714121)
  (  2.46600000,      0.37833505)
  (  2.47200000,      0.37587465)
  (  2.47800000,     -0.29326908)
  (  2.48400000,     -0.11424918)
  (  2.49000000,     -0.31269729)
  (  2.49600000,     -0.16994715)
  (  2.50200000,      0.71975079)
  (  2.50800000,     -0.49784306)
  (  2.51400000,      0.15704023)
  (  2.52000000,     -0.43692067)
  (  2.52600000,     -0.14148374)
  (  2.53200000,     -0.01607610)
  (  2.53800000,      0.30433225)
  (  2.54400000,     -0.06928363)
  (  2.55000000,      0.12093651)
  (  2.55600000,     -0.35484325)
  (  2.56200000,      0.55794417)
  (  2.56800000,     -0.43007991)
  (  2.57400000,      0.05910977)
  (  2.58000000,      0.12730102)
  (  2.58600000,     -0.23568617)
  (  2.59200000,      0.20025897)
  (  2.59800000,      0.50202675)
  (  2.60400000,      0.47445327)
  (  2.61000000,     -0.14644203)
  (  2.61600000,     -0.47340138)
  (  2.62200000,     -0.12663379)
  (  2.62800000,     -0.27716750)
  (  2.63400000,      0.02619383)
  (  2.64000000,      0.45998549)
  (  2.64600000,      0.55092207)
  (  2.65200000,     -0.28318503)
  (  2.65800000,      0.60861514)
  (  2.66400000,     -0.49483583)
  (  2.67000000,     -0.05036026)
  (  2.67600000,     -0.38515315)
  (  2.68200000,     -0.51125341)
  (  2.68800000,     -0.09376740)
  (  2.69400000,     -0.17252090)
  (  2.70000000,      0.61451097)
  (  2.70600000,     -0.44517036)
  (  2.71200000,     -0.22578307)
  (  2.71800000,     -0.04829000)
  (  2.72400000,      0.53951000)
  (  2.73000000,      0.22639547)
  (  2.73600000,      0.35220382)
  (  2.74200000,      0.30053941)
  (  2.74800000,     -0.02361785)
  (  2.75400000,      0.15130698)
  (  2.76000000,     -0.68607740)
  (  2.76600000,      0.36782086)
  (  2.77200000,      0.05809248)
  (  2.77800000,      0.31452558)
  (  2.78400000,      0.07423401)
  (  2.79000000,      0.15602126)
  (  2.79600000,      0.36406704)
  (  2.80200000,     -0.70620113)
  (  2.80800000,     -0.59613316)
  (  2.81400000,     -0.04458958)
  (  2.82000000,     -0.29168678)
  (  2.82600000,     -0.48915262)
  (  2.83200000,      0.30334039)
  (  2.83800000,      0.01166607)
  (  2.84400000,      0.11226679)
  (  2.85000000,     -0.25736734)
  (  2.85600000,     -0.34650198)
  (  2.86200000,     -0.11282041)
  (  2.86800000,      0.12383476)
  (  2.87400000,      0.07757634)
  (  2.88000000,     -0.30537167)
  (  2.88600000,      0.28227567)
  (  2.89200000,     -0.23481911)
  (  2.89800000,     -0.50635903)
  (  2.90400000,     -0.17523997)
  (  2.91000000,      0.08156609)
  (  2.91600000,      0.15303755)
  (  2.92200000,     -0.19352040)
  (  2.92800000,      0.31271970)
  (  2.93400000,      0.33855848)
  (  2.94000000,     -0.41374344)
  (  2.94600000,      0.33956432)
  (  2.95200000,      0.28972080)
  (  2.95800000,     -0.05188859)
  (  2.96400000,     -0.01280970)
  (  2.97000000,      0.41349534)
  (  2.97600000,      0.11684437)
  (  2.98200000,      0.93639683)
  (  2.98800000,     -0.40393975)
  (  2.99400000,     -0.06400088)
  (  3.00000000,     -0.07975000)
  (  3.00600000,     -0.53971828)
  (  3.01200000,      0.01670014)
  (  3.01800000,     -0.04765201)
  (  3.02400000,      0.42017990)
  (  3.03000000,      0.16339191)
  (  3.03600000,     -0.44458837)
  (  3.04200000,     -0.17824155)
  (  3.04800000,     -0.06874230)
  (  3.05400000,      0.17148595)
  (  3.06000000,     -0.33480050)
  (  3.06600000,     -0.17658918)
  (  3.07200000,      0.38355212)
  (  3.07800000,     -0.10942473)
  (  3.08400000,      0.14337000)
  (  3.09000000,     -0.25896508)
  (  3.09600000,      0.28098959)
  (  3.10200000,     -0.75160362)
  (  3.10800000,     -0.26409916)
  (  3.11400000,     -0.14267314)
  (  3.12000000,      0.05125121)
  (  3.12600000,      0.36368323)
  (  3.13200000,     -0.30600435)
  (  3.13800000,     -0.40640119)
  (  3.14400000,      0.02340020)
  (  3.15000000,      0.23989023)
  (  3.15600000,      0.01250030)
  (  3.16200000,      0.36666458)
  (  3.16800000,     -0.19714166)
  (  3.17400000,     -0.30423330)
  (  3.18000000,     -0.75474855)
  (  3.18600000,     -0.12879310)
  (  3.19200000,      0.86361243)
  (  3.19800000,     -0.40481162)
  (  3.20400000,      0.06367287)
  (  3.21000000,      0.56064499)
  (  3.21600000,      0.13571969)
  (  3.22200000,     -0.30199877)
  (  3.22800000,     -0.06262170)
  (  3.23400000,     -0.79347322)
  (  3.24000000,      0.13105564)
  (  3.24600000,      0.04130459)
  (  3.25200000,     -0.21573001)
  (  3.25800000,      0.93763647)
  (  3.26400000,      0.07130047)
  (  3.27000000,      0.41073450)
  (  3.27600000,     -0.33615430)
  (  3.28200000,     -0.68182575)
  (  3.28800000,      0.11365795)
  (  3.29400000,     -0.44467011)
  (  3.30000000,     -0.14345712)
  (  3.30600000,      0.04880747)
  (  3.31200000,     -0.18358744)
  (  3.31800000,      0.66321440)
  (  3.32400000,      0.00535870)
  (  3.33000000,     -0.59831749)
  (  3.33600000,      0.21691379)
  (  3.34200000,     -0.09938227)
  (  3.34800000,      0.04640007)
  (  3.35400000,      0.26111812)
  (  3.36000000,     -0.33680866)
  (  3.36600000,      0.08105507)
  (  3.37200000,      0.09864436)
  (  3.37800000,      0.23882812)
  (  3.38400000,     -0.41123184)
  (  3.39000000,     -0.06017479)
  (  3.39600000,      0.27754671)
  (  3.40200000,     -0.14402494)
  (  3.40800000,     -0.18753760)
  (  3.41400000,      0.42187125)
  (  3.42000000,     -0.21264635)
  (  3.42600000,     -0.21352494)
  (  3.43200000,      0.18511917)
  (  3.43800000,     -0.20618097)
  (  3.44400000,      0.30769414)
  (  3.45000000,     -0.08187180)
  (  3.45600000,     -0.00055457)
  (  3.46200000,      0.08671093)
  (  3.46800000,      0.28468975)
  (  3.47400000,      0.34123508)
  (  3.48000000,     -0.00684971)
  (  3.48600000,     -0.60725001)
  (  3.49200000,      0.33704624)
  (  3.49800000,     -0.12258038)
  (  3.50400000,      0.04606523)
  (  3.51000000,      0.10211585)
  (  3.51600000,      0.15595141)
  (  3.52200000,     -0.20810974)
  (  3.52800000,     -0.37880805)
  (  3.53400000,     -0.32706805)
  (  3.54000000,      0.51445166)
  (  3.54600000,      0.00888064)
  (  3.55200000,     -0.13539935)
  (  3.55800000,     -0.10329471)
  (  3.56400000,     -0.29767179)
  (  3.57000000,      0.49705113)
  (  3.57600000,     -0.04817210)
  (  3.58200000,     -0.47685059)
  (  3.58800000,      0.26716178)
  (  3.59400000,     -0.53554728)
  (  3.60000000,     -0.06910226)
  (  3.60600000,     -0.11280131)
  (  3.61200000,      0.21589897)
  (  3.61800000,      0.57592860)
  (  3.62400000,     -0.23921206)
  (  3.63000000,     -0.19896698)
  (  3.63600000,     -0.12098761)
  (  3.64200000,     -0.30443340)
  (  3.64800000,      0.11913664)
  (  3.65400000,     -0.20119968)
  (  3.66000000,      0.06356341)
  (  3.66600000,      0.50170943)
  (  3.67200000,      0.02014675)
  (  3.67800000,      0.43703396)
  (  3.68400000,     -0.22810971)
  (  3.69000000,      0.02481888)
  (  3.69600000,      0.13482233)
  (  3.70200000,     -0.03652048)
  (  3.70800000,      0.51157957)
  (  3.71400000,     -0.20011220)
  (  3.72000000,      0.36640395)
  (  3.72600000,      0.08780710)
  (  3.73200000,      0.06766975)
  (  3.73800000,     -0.00669085)
  (  3.74400000,      0.42606397)
  (  3.75000000,     -0.32536624)
  (  3.75600000,      0.83360334)
  (  3.76200000,     -0.54874718)
  (  3.76800000,     -0.00719961)
  (  3.77400000,      0.01826794)
  (  3.78000000,     -0.17408564)
  (  3.78600000,     -0.36251775)
  (  3.79200000,     -0.45374528)
  (  3.79800000,     -0.10674323)
  (  3.80400000,      0.39047270)
  (  3.81000000,     -0.52240018)
  (  3.81600000,      0.28853401)
  (  3.82200000,     -0.14572525)
  (  3.82800000,      0.06810848)
  (  3.83400000,      0.23367833)
  (  3.84000000,     -0.25957049)
  (  3.84600000,      0.12475227)
  (  3.85200000,      0.48499475)
  (  3.85800000,     -0.28654797)
