%=============================================================================
% Daniel J. Greenhoe 
% Sunspot eigen vector 5 data file suitable for use with LaTeX PStricks
% For an example, see "sunspots_eigen.tex"
% This file auto-generated using "sunspots.R" --- hand-editing not recommended
%=============================================================================
[
  (  0.08333333,   3.22114563)
  (  0.16666667,   3.28915757)
  (  0.25000000,   3.34845511)
  (  0.33333333,   3.39934669)
  (  0.41666667,   3.44200217)
  (  0.50000000,   3.47610774)
  (  0.58333333,   3.50172058)
  (  0.66666667,   3.51849315)
  (  0.75000000,   3.52665895)
  (  0.83333333,   3.52632851)
  (  0.91666667,   3.51711837)
  (  1.00000000,   3.49899890)
  (  1.08333333,   3.47210344)
  (  1.16666667,   3.43636272)
  (  1.25000000,   3.39198241)
  (  1.33333333,   3.33888497)
  (  1.41666667,   3.27698431)
  (  1.50000000,   3.20651211)
  (  1.58333333,   3.12756796)
  (  1.66666667,   3.04051856)
  (  1.75000000,   2.94549927)
  (  1.83333333,   2.84274785)
  (  1.91666667,   2.73254805)
  (  2.00000000,   2.61533492)
  (  2.08333333,   2.49103116)
  (  2.16666667,   2.36032049)
  (  2.25000000,   2.22321995)
  (  2.33333333,   2.07992990)
  (  2.41666667,   1.93083212)
  (  2.50000000,   1.77642607)
  (  2.58333333,   1.61723168)
  (  2.66666667,   1.45344599)
  (  2.75000000,   1.28561088)
  (  2.83333333,   1.11392017)
  (  2.91666667,   0.93890204)
  (  3.00000000,   0.76099415)
  (  3.08333333,   0.58075359)
  (  3.16666667,   0.39860201)
  (  3.25000000,   0.21500197)
  (  3.33333333,   0.03033829)
  (  3.41666667,  -0.15474191)
  (  3.50000000,  -0.33991502)
  (  3.58333333,  -0.52465517)
  (  3.66666667,  -0.70858545)
  (  3.75000000,  -0.89110128)
  (  3.83333333,  -1.07181161)
  (  3.91666667,  -1.25012244)
  (  4.00000000,  -1.42568179)
  (  4.08333333,  -1.59817002)
  (  4.16666667,  -1.76703264)
  (  4.25000000,  -1.93179791)
  (  4.33333333,  -2.09206967)
  (  4.41666667,  -2.24737848)
  (  4.50000000,  -2.39730095)
  (  4.58333333,  -2.54152267)
  (  4.66666667,  -2.67972481)
  (  4.75000000,  -2.81150010)
  (  4.83333333,  -2.93651188)
  (  4.91666667,  -3.05442323)
  (  5.00000000,  -3.16488539)
  (  5.08333333,  -3.26757978)
  (  5.16666667,  -3.36225378)
  (  5.25000000,  -3.44859772)
  (  5.33333333,  -3.52645194)
  (  5.41666667,  -3.59554252)
  (  5.50000000,  -3.65567672)
  (  5.58333333,  -3.70674878)
  (  5.66666667,  -3.74854230)
  (  5.75000000,  -3.78098590)
  (  5.83333333,  -3.80398018)
  (  5.91666667,  -3.81745912)
  (  6.00000000,  -3.82135299)
  (  6.08333333,  -3.81554893)
  (  6.16666667,  -3.79998878)
  (  6.25000000,  -3.77492482)
  (  6.33333333,  -3.74024631)
  (  6.41666667,  -3.69603208)
  (  6.50000000,  -3.64240561)
  (  6.58333333,  -3.57961070)
  (  6.66666667,  -3.50763194)
  (  6.75000000,  -3.42668628)
  (  6.83333333,  -3.33700849)
  (  6.91666667,  -3.23867628)
  (  7.00000000,  -3.13188019)
  (  7.08333333,  -3.01689196)
  (  7.16666667,  -2.89419110)
  (  7.25000000,  -2.76404002)
  (  7.33333333,  -2.62677816)
  (  7.41666667,  -2.48259933)
  (  7.50000000,  -2.33187718)
  (  7.58333333,  -2.17491830)
  (  7.66666667,  -2.01219223)
  (  7.75000000,  -1.84391947)
  (  7.83333333,  -1.67068371)
  (  7.91666667,  -1.49292354)
  (  8.00000000,  -1.31110892)
  (  8.08333333,  -1.12559391)
  (  8.16666667,  -0.93692421)
  (  8.25000000,  -0.74545018)
  (  8.33333333,  -0.55175570)
  (  8.41666667,  -0.35624697)
  (  8.50000000,  -0.15948038)
  (  8.58333333,   0.03827375)
  (  8.66666667,   0.23629281)
  (  8.75000000,   0.43409169)
  (  8.83333333,   0.63124171)
  (  8.91666667,   0.82719369)
  (  9.00000000,   1.02155683)
  (  9.08333333,   1.21388905)
  (  9.16666667,   1.40348015)
  (  9.25000000,   1.58991831)
  (  9.33333333,   1.77292609)
  (  9.41666667,   1.95196265)
  (  9.50000000,   2.12661316)
  (  9.58333333,   2.29626133)
  (  9.66666667,   2.46059350)
  (  9.75000000,   2.61927884)
  (  9.83333333,   2.77194990)
  (  9.91666667,   2.91790174)
  ( 10.00000000,   3.05693806)
  ( 10.08333333,   3.18869424)
  ( 10.16666667,   3.31286907)
  ( 10.25000000,   3.42919811)
  ( 10.33333333,   3.53751228)
  ( 10.41666667,   3.63729147)
  ( 10.50000000,   3.72831968)
  ( 10.58333333,   3.81036190)
  ( 10.66666667,   3.88329411)
  ( 10.75000000,   3.94701038)
  ( 10.83333333,   4.00120361)
  ( 10.91666667,   4.04565380)
  ( 11.00000000,   4.08023175)
  ( 11.08333333,   4.10496656)
  ( 11.16666667,   4.11972685)
  ( 11.25000000,   4.12456832)
  ( 11.33333333,   4.11919187)
  ( 11.41666667,   4.10390006)
  ( 11.50000000,   4.07882222)
  ( 11.58333333,   4.04396158)
  ( 11.66666667,   3.99920573)
  ( 11.75000000,   3.94471044)
  ( 11.83333333,   3.88054096)
  ( 11.91666667,   3.80680937)
  ( 12.00000000,   3.72382900)
  ( 12.08333333,   3.63181448)
  ( 12.16666667,   3.53092553)
  ( 12.25000000,   3.42152113)
  ( 12.33333333,   3.30366880)
  ( 12.41666667,   3.17781154)
  ( 12.50000000,   3.04434220)
  ( 12.58333333,   2.90340291)
  ( 12.66666667,   2.75535646)
  ( 12.75000000,   2.60061615)
  ( 12.83333333,   2.43970376)
  ( 12.91666667,   2.27294142)
  ( 13.00000000,   2.10076467)
  ( 13.08333333,   1.92339345)
  ( 13.16666667,   1.74148124)
  ( 13.25000000,   1.55537998)
  ( 13.33333333,   1.36553566)
  ( 13.41666667,   1.17232901)
  ( 13.50000000,   0.97643046)
  ( 13.58333333,   0.77835533)
  ( 13.66666667,   0.57866309)
  ( 13.75000000,   0.37762739)
  ( 13.83333333,   0.17582759)
  ( 13.91666667,  -0.02611965)
  ( 14.00000000,  -0.22785650)
  ( 14.08333333,  -0.42873939)
  ( 14.16666667,  -0.62826101)
  ( 14.25000000,  -0.82612183)
  ( 14.33333333,  -1.02181000)
  ( 14.41666667,  -1.21472699)
  ( 14.50000000,  -1.40452780)
  ( 14.58333333,  -1.59069415)
  ( 14.66666667,  -1.77281037)
  ( 14.75000000,  -1.95012575)
  ( 14.83333333,  -2.12239510)
  ( 14.91666667,  -2.28926961)
  ( 15.00000000,  -2.45026392)
  ( 15.08333333,  -2.60491341)
  ( 15.16666667,  -2.75307388)
  ( 15.25000000,  -2.89421335)
  ( 15.33333333,  -3.02803983)
  ( 15.41666667,  -3.15432168)
  ( 15.50000000,  -3.27273430)
  ( 15.58333333,  -3.38299704)
  ( 15.66666667,  -3.48495328)
  ( 15.75000000,  -3.57813198)
  ( 15.83333333,  -3.66233561)
  ( 15.91666667,  -3.73743288)
  ( 16.00000000,  -3.80321290)
  ( 16.08333333,  -3.85942880)
  ( 16.16666667,  -3.90616954)
  ( 16.25000000,  -3.94317497)
  ( 16.33333333,  -3.97048533)
  ( 16.41666667,  -3.98815908)
  ( 16.50000000,  -3.99597604)
  ( 16.58333333,  -3.99403339)
  ( 16.66666667,  -3.98228191)
  ( 16.75000000,  -3.96085891)
  ( 16.83333333,  -3.92976759)
  ( 16.91666667,  -3.88906261)
  ( 17.00000000,  -3.83890339)
  ( 17.08333333,  -3.77947932)
  ( 17.16666667,  -3.71089704)
  ( 17.25000000,  -3.63335291)
  ( 17.33333333,  -3.54700462)
  ( 17.41666667,  -3.45204169)
  ( 17.50000000,  -3.34889581)
  ( 17.58333333,  -3.23788157)
  ( 17.66666667,  -3.11930731)
  ( 17.75000000,  -2.99349897)
  ( 17.83333333,  -2.86062132)
  ( 17.91666667,  -2.72093653)
  ( 18.00000000,  -2.57486579)
  ( 18.08333333,  -2.42277175)
  ( 18.16666667,  -2.26499271)
  ( 18.25000000,  -2.10206781)
  ( 18.33333333,  -1.93434136)
  ( 18.41666667,  -1.76221477)
  ( 18.50000000,  -1.58621652)
  ( 18.58333333,  -1.40669205)
  ( 18.66666667,  -1.22414684)
  ( 18.75000000,  -1.03897556)
  ( 18.83333333,  -0.85177052)
  ( 18.91666667,  -0.66285414)
  ( 19.00000000,  -0.47264404)
  ( 19.08333333,  -0.28163031)
  ( 19.16666667,  -0.09034855)
  ( 19.25000000,   0.10085257)
  ( 19.33333333,   0.29147907)
  ( 19.41666667,   0.48085596)
  ( 19.50000000,   0.66879764)
  ( 19.58333333,   0.85470442)
  ( 19.66666667,   1.03807870)
  ( 19.75000000,   1.21848488)
  ( 19.83333333,   1.39557044)
  ( 19.91666667,   1.56883756)
  ( 20.00000000,   1.73801565)
  ( 20.08333333,   1.90254928)
  ( 20.16666667,   2.06217243)
  ( 20.25000000,   2.21661586)
  ( 20.33333333,   2.36522638)
  ( 20.41666667,   2.50773578)
  ( 20.50000000,   2.64403769)
  ( 20.58333333,   2.77369173)
  ( 20.66666667,   2.89631578)
  ( 20.75000000,   3.01184233)
  ( 20.83333333,   3.12003395)
  ( 20.91666667,   3.22042320)
  ( 21.00000000,   3.31284101)
  ( 21.08333333,   3.39711496)
  ( 21.16666667,   3.47311934)
  ( 21.25000000,   3.54066116)
  ( 21.33333333,   3.59965842)
  ( 21.41666667,   3.64995391)
  ( 21.50000000,   3.69138216)
  ( 21.58333333,   3.72387691)
  ( 21.66666667,   3.74739343)
  ( 21.75000000,   3.76197524)
  ( 21.83333333,   3.76760782)
  ( 21.91666667,   3.76443397)
  ( 22.00000000,   3.75218620)
  ( 22.08333333,   3.73123793)
  ( 22.16666667,   3.70159726)
  ( 22.25000000,   3.66319692)
  ( 22.33333333,   3.61621563)
  ( 22.41666667,   3.56083829)
  ( 22.50000000,   3.49716458)
  ( 22.58333333,   3.42541984)
  ( 22.66666667,   3.34599686)
  ( 22.75000000,   3.25888748)
  ( 22.83333333,   3.16430300)
  ( 22.91666667,   3.06267205)
  ( 23.00000000,   2.95431326)
  ( 23.08333333,   2.83936323)
  ( 23.16666667,   2.71795216)
  ( 23.25000000,   2.59054838)
  ( 23.33333333,   2.45740311)
  ( 23.41666667,   2.31887547)
  ( 23.50000000,   2.17543031)
  ( 23.58333333,   2.02747999)
  ( 23.66666667,   1.87532564)
  ( 23.75000000,   1.71918112)
  ( 23.83333333,   1.55946165)
  ( 23.91666667,   1.39665918)
  ( 24.00000000,   1.23117782)
  ( 24.08333333,   1.06333272)
  ( 24.16666667,   0.89361090)
  ( 24.25000000,   0.72252114)
  ( 24.33333333,   0.55046922)
  ( 24.41666667,   0.37764747)
  ( 24.50000000,   0.20462830)
  ( 24.58333333,   0.03189591)
  ( 24.66666667,  -0.14012160)
  ( 24.75000000,  -0.31105740)
  ( 24.83333333,  -0.48053332)
  ( 24.91666667,  -0.64821262)
  ( 25.00000000,  -0.81350679)
  ( 25.08333333,  -0.97612154)
  ( 25.16666667,  -1.13573981)
  ( 25.25000000,  -1.29197678)
  ( 25.33333333,  -1.44443108)
  ( 25.41666667,  -1.59273402)
  ( 25.50000000,  -1.73658284)
  ( 25.58333333,  -1.87561313)
  ( 25.66666667,  -2.00958761)
  ( 25.75000000,  -2.13818193)
