%=============================================================================
% Daniel J. Greenhoe 
% Sunspot eigen coefficient data (105 coefficients)
% File suitable for use with LaTeX PStricks
% For an example, see "sunspots.tex"
% This file auto-generated using "sunspots.R" --- hand-editing not recommended
%=============================================================================
[
  (  1.00000000, 1990.16805740)
  (  2.00000000, 580.68215226)
  (  3.00000000, -500.35492511)
  (  4.00000000, 920.35901665)
  (  5.00000000, -607.74480582)
  (  6.00000000, -227.52350960)
  (  7.00000000, -683.57736666)
  (  8.00000000, -136.64406095)
  (  9.00000000, 162.49089631)
  ( 10.00000000, -649.48872986)
  ( 11.00000000, -19.36185291)
  ( 12.00000000, -330.12541982)
  ( 13.00000000,  68.00673121)
  ( 14.00000000, 149.72937153)
  ( 15.00000000, -278.35634364)
  ( 16.00000000,  94.93399414)
  ( 17.00000000, 271.20966819)
  ( 18.00000000, -551.54897629)
  ( 19.00000000,  27.40581157)
  ( 20.00000000, 454.79616330)
  ( 21.00000000,  19.55720402)
  ( 22.00000000,  60.59848295)
  ( 23.00000000, -27.51558719)
  ( 24.00000000,  -5.35523669)
  ( 25.00000000, -10.93312218)
  ( 26.00000000, 245.25070726)
  ( 27.00000000, -297.82309757)
  ( 28.00000000, -43.08958827)
  ( 29.00000000, -130.47380521)
  ( 30.00000000, 317.02451347)
  ( 31.00000000, -305.00814319)
  ( 32.00000000, -115.15241932)
  ( 33.00000000, -159.67071866)
  ( 34.00000000,  23.16212825)
  ( 35.00000000, -115.27600948)
  ( 36.00000000, -119.72240275)
  ( 37.00000000, -24.51279444)
  ( 38.00000000, -119.87772937)
  ( 39.00000000,  98.15191515)
  ( 40.00000000, 144.88291049)
  ( 41.00000000, -182.61160436)
  ( 42.00000000, -40.95556782)
  ( 43.00000000,  79.09544900)
  ( 44.00000000, -133.22313048)
  ( 45.00000000,   6.33486175)
  ( 46.00000000, -47.02047601)
  ( 47.00000000, -54.89825029)
  ( 48.00000000, 113.00604846)
  ( 49.00000000, -148.33541635)
  ( 50.00000000, -44.49521076)
  ( 51.00000000,  -5.60484589)
  ( 52.00000000, 232.61608829)
  ( 53.00000000, -156.99479854)
  ( 54.00000000,  22.46369787)
  ( 55.00000000, 130.08592433)
  ( 56.00000000, -135.45901301)
  ( 57.00000000, -176.52598079)
  ( 58.00000000, -109.56155132)
  ( 59.00000000, -84.45729172)
  ( 60.00000000, 111.39060274)
  ( 61.00000000,   6.44198434)
  ( 62.00000000,  90.18700239)
  ( 63.00000000, -51.92317105)
  ( 64.00000000, -22.58498011)
  ( 65.00000000, -115.38766115)
  ( 66.00000000, -70.16290644)
  ( 67.00000000,  -5.21138336)
  ( 68.00000000,  29.10716579)
  ( 69.00000000, -44.57198668)
  ( 70.00000000, -18.85666193)
  ( 71.00000000, 128.93721186)
  ( 72.00000000, -26.20400917)
  ( 73.00000000,  43.36197011)
  ( 74.00000000,  58.85816477)
  ( 75.00000000, -36.23693023)
  ( 76.00000000, -31.69390929)
  ( 77.00000000,  25.02253287)
  ( 78.00000000,  41.57957559)
  ( 79.00000000,  34.31310079)
  ( 80.00000000,  77.62471540)
  ( 81.00000000, -41.93298893)
  ( 82.00000000, -24.31489680)
  ( 83.00000000, -47.49848940)
  ( 84.00000000, -57.55457226)
  ( 85.00000000,  29.61312140)
  ( 86.00000000,  23.48561359)
  ( 87.00000000, -30.77407511)
  ( 88.00000000, -83.06457607)
  ( 89.00000000, -21.86708034)
  ( 90.00000000, -18.25126542)
  ( 91.00000000,  -6.72050927)
  ( 92.00000000, -57.57961440)
  ( 93.00000000, 125.02656945)
  ( 94.00000000, -51.04650904)
  ( 95.00000000, -110.89631074)
  ( 96.00000000,  18.89782825)
  ( 97.00000000, -46.86713355)
  ( 98.00000000, -43.60985194)
  ( 99.00000000, -12.70912215)
  (100.00000000,  52.90463258)
  (101.00000000, -44.38889089)
  (102.00000000, -55.03971214)
  (103.00000000, -10.46300659)
  (104.00000000,  51.58786221)
  (105.00000000, -124.39821879)
]
