%========================================================================
% Daniel J. Greenhoe 
% file: d3_phi.dat 
% number of data points = 855
% plot file for Daubechies-3 scaling function 
% 2011 July 23 Saturday 03:15:27 AM (GMT) 
% The command \fileplot{d3_phi.dat} may be used in a LaTeX environment for plotting data.
% \fileplot is available in the LaTeX PSTricks package.
% Reference: http://www.ctan.org/pkg/pstricks
%========================================================================
[
( 0.0000000000, 0.0000011521)
( 0.0058548009, 0.0045553407)
( 0.0117096019, 0.0096978541)
( 0.0175644028, 0.0154602692)
( 0.0234192037, 0.0206431139)
( 0.0292740047, 0.0272283542)
( 0.0351288056, 0.0328875487)
( 0.0409836066, 0.0382614342)
( 0.0468384075, 0.0438950693)
( 0.0526932084, 0.0508103958)
( 0.0585480094, 0.0578966703)
( 0.0644028103, 0.0646817594)
( 0.0702576112, 0.0699318216)
( 0.0761124122, 0.0755132045)
( 0.0819672131, 0.0813626030)
( 0.0878220141, 0.0874150365)
( 0.0936768150, 0.0933192867)
( 0.0995316159, 0.1005548925)
( 0.1053864169, 0.1080228821)
( 0.1112412178, 0.1156775394)
( 0.1170960187, 0.1231043160)
( 0.1229508197, 0.1309403820)
( 0.1288056206, 0.1375143202)
( 0.1346604215, 0.1431716255)
( 0.1405152225, 0.1486593292)
( 0.1463700234, 0.1547468274)
( 0.1522248244, 0.1605236704)
( 0.1580796253, 0.1663728010)
( 0.1639344262, 0.1729785443)
( 0.1697892272, 0.1794879338)
( 0.1756440281, 0.1858393330)
( 0.1814988290, 0.1920432838)
( 0.1873536300, 0.1983739513)
( 0.1932084309, 0.2059416930)
( 0.1990632319, 0.2137580746)
( 0.2049180328, 0.2217790043)
( 0.2107728337, 0.2296526825)
( 0.2166276347, 0.2379153285)
( 0.2224824356, 0.2459213296)
( 0.2283372365, 0.2537437722)
( 0.2341920375, 0.2616882753)
( 0.2400468384, 0.2699835641)
( 0.2459016393, 0.2783455194)
( 0.2517564403, 0.2862939253)
( 0.2576112412, 0.2923253496)
( 0.2634660422, 0.2983579250)
( 0.2693208431, 0.3043549489)
( 0.2751756440, 0.3104161721)
( 0.2810304450, 0.3159993431)
( 0.2868852459, 0.3224623969)
( 0.2927400468, 0.3289410777)
( 0.2985948478, 0.3353416622)
( 0.3044496487, 0.3412335146)
( 0.3103044496, 0.3472211470)
( 0.3161592506, 0.3536736417)
( 0.3220140515, 0.3606633128)
( 0.3278688525, 0.3676961312)
( 0.3337236534, 0.3745523564)
( 0.3395784543, 0.3815320467)
( 0.3454332553, 0.3885195357)
( 0.3512880562, 0.3950469333)
( 0.3571428571, 0.4016073854)
( 0.3629976581, 0.4082358971)
( 0.3688524590, 0.4149846750)
( 0.3747072600, 0.4216737686)
( 0.3805620609, 0.4295459109)
( 0.3864168618, 0.4377638323)
( 0.3922716628, 0.4461887873)
( 0.3981264637, 0.4543997882)
( 0.4039812646, 0.4629899862)
( 0.4098360656, 0.4714479152)
( 0.4156908665, 0.4797303961)
( 0.4215456674, 0.4881633685)
( 0.4274004684, 0.4968896257)
( 0.4332552693, 0.5057273150)
( 0.4391100703, 0.5145289057)
( 0.4449648712, 0.5227635769)
( 0.4508196721, 0.5310551842)
( 0.4566744731, 0.5393927347)
