%========================================================================
% Daniel J. Greenhoe 
% file: d3_psi.dat 
% number of data points = 855
% plot file for Daubechies-3 wavelet function 
% 2011 July 23 Saturday 03:15:27 AM (GMT) 
% The command \fileplot{d3_psi.dat} may be used in a LaTeX environment for plotting data.
% \fileplot is available in the LaTeX PSTricks package.
% Reference: http://www.ctan.org/pkg/pstricks
%========================================================================
[
( 0.0000000000, 0.0000000574)
( 0.0058548009, 0.0004831228)
( 0.0117096019, 0.0010283883)
( 0.0175644028, 0.0016383754)
( 0.0234192037, 0.0021867426)
( 0.0292740047, 0.0028842674)
( 0.0351288056, 0.0034838285)
( 0.0409836066, 0.0040532815)
( 0.0468384075, 0.0046489335)
( 0.0526932084, 0.0053814299)
( 0.0585480094, 0.0061327492)
( 0.0644028103, 0.0068506196)
( 0.0702576112, 0.0074058361)
( 0.0761124122, 0.0079968879)
( 0.0819672131, 0.0086173586)
( 0.0878220141, 0.0092580509)
( 0.0936768150, 0.0098824943)
( 0.0995316159, 0.0106488928)
( 0.1053864169, 0.0114407224)
( 0.1112412178, 0.0122511858)
( 0.1170960187, 0.0130366556)
( 0.1229508197, 0.0138664778)
( 0.1288056206, 0.0145629180)
( 0.1346604215, 0.0151622026)
( 0.1405152225, 0.0157422972)
( 0.1463700234, 0.0163870221)
( 0.1522248244, 0.0169994005)
( 0.1580796253, 0.0176191366)
( 0.1639344262, 0.0183177019)
( 0.1697892272, 0.0190069726)
( 0.1756440281, 0.0196802505)
( 0.1814988290, 0.0203372917)
( 0.1873536300, 0.0210067329)
( 0.1932084309, 0.0218082996)
( 0.1990632319, 0.0226370613)
( 0.2049180328, 0.0234863564)
( 0.2107728337, 0.0243190785)
( 0.2166276347, 0.0251940704)
( 0.2224824356, 0.0260427744)
( 0.2283372365, 0.0268711974)
( 0.2341920375, 0.0277113086)
( 0.2400468384, 0.0285897707)
( 0.2459016393, 0.0294763512)
( 0.2517564403, 0.0303174309)
( 0.2576112412, 0.0309550850)
( 0.2634660422, 0.0315938625)
( 0.2693208431, 0.0322299327)
( 0.2751756440, 0.0328714975)
( 0.2810304450, 0.0334618889)
( 0.2868852459, 0.0341464239)
( 0.2927400468, 0.0348332772)
( 0.2985948478, 0.0355109252)
