%========================================================================
% Daniel J. Greenhoe 
% file: arbitrary_coef3_phi.dat 
% number of data points = 8192
% Arbitrary 3 coefficient scaling function 
% 2021 August 24 Tuesday  (GMT) 
% The command \fileplot{arbitrary_coef3_phi.dat} may be used in a LaTeX environment for plotting data.
% \fileplot is available in the LaTeX PSTricks package.
% Reference: http://www.ctan.org/pkg/pstricks
%========================================================================
[
( 0.0000000000, 0.2296127178)
( 0.0002441704, 0.9126359835)
( 0.0004883409, 0.9197519376)
( 0.0007325113, 0.9250880569)
( 0.0009766817, 0.9269234852)
( 0.0012208522, 0.9322596045)
( 0.0014650226, 0.9323151979)
( 0.0017091930, 0.9323568863)
( 0.0019533634, 0.9341510605)
( 0.0021975339, 0.9394871798)
( 0.0024417043, 0.9395427731)
( 0.0026858747, 0.9395844616)
( 0.0029300452, 0.9395988009)
( 0.0031742156, 0.9396404893)
( 0.0034183860, 0.9396409236)
( 0.0036625565, 0.9396412493)
( 0.0039067269, 0.9414351012)
( 0.0041508973, 0.9467712205)
( 0.0043950678, 0.9468268139)
( 0.0046392382, 0.9468685023)
( 0.0048834086, 0.9468828416)
( 0.0051275791, 0.9469245300)
( 0.0053717495, 0.9469249643)
( 0.0056159199, 0.9469252900)
( 0.0058600903, 0.9469393070)
( 0.0061042608, 0.9469809954)
( 0.0063484312, 0.9469814298)
( 0.0065926016, 0.9469817555)
( 0.0068367721, 0.9469818675)
( 0.0070809425, 0.9469821932)
( 0.0073251129, 0.9469821966)
( 0.0075692834, 0.9469821991)
( 0.0078134538, 0.9487760485)
( 0.0080576242, 0.9541121677)
( 0.0083017947, 0.9541677611)
( 0.0085459651, 0.9542094496)
( 0.0087901355, 0.9542237889)
( 0.0090343059, 0.9542654773)
( 0.0092784764, 0.9542659116)
( 0.0095226468, 0.9542662373)
( 0.0097668172, 0.9542802543)
( 0.0100109877, 0.9543219427)
( 0.0102551581, 0.9543223770)
( 0.0104993285, 0.9543227027)
( 0.0107434990, 0.9543228148)
( 0.0109876694, 0.9543231404)
( 0.0112318398, 0.9543231438)
( 0.0114760103, 0.9543231464)
( 0.0117201807, 0.9543371609)
( 0.0119643511, 0.9543788493)
( 0.0122085215, 0.9543792836)
( 0.0124526920, 0.9543796093)
( 0.0126968624, 0.9543797213)
( 0.0129410328, 0.9543800470)
( 0.0131852033, 0.9543800504)
