%========================================================================
% Daniel J. Greenhoe 
% file: arbitrary_coef3_phi.dat 
% number of data points = 8192
% Arbitrary 3 coefficient scaling function 
% 2021 August 23 Monday  (GMT) 
% The command \fileplot{arbitrary_coef3_phi.dat} may be used in a LaTeX environment for plotting data.
% \fileplot is available in the LaTeX PSTricks package.
% Reference: http://www.ctan.org/pkg/pstricks
%========================================================================
[
( 0.0000000000, 0.0000000000)
( 0.0002441704, 0.0000018817)
( 0.0004883409, 0.0000056450)
( 0.0007325113, 0.0000094084)
( 0.0009766817, 0.0000169351)
( 0.0012208522, 0.0000206984)
( 0.0014650226, 0.0000282251)
( 0.0017091930, 0.0000357519)
( 0.0019533634, 0.0000508053)
( 0.0021975339, 0.0000545686)
( 0.0024417043, 0.0000620953)
( 0.0026858747, 0.0000696220)
( 0.0029300452, 0.0000846754)
( 0.0031742156, 0.0000922021)
( 0.0034183860, 0.0001072556)
( 0.0036625565, 0.0001223090)
( 0.0039067269, 0.0001524158)
( 0.0041508973, 0.0001561791)
( 0.0043950678, 0.0001637058)
( 0.0046392382, 0.0001712326)
( 0.0048834086, 0.0001862860)
( 0.0051275791, 0.0001938127)
( 0.0053717495, 0.0002088661)
( 0.0056159199, 0.0002239195)
( 0.0058600903, 0.0002540263)
( 0.0061042608, 0.0002615530)
( 0.0063484312, 0.0002766064)
( 0.0065926016, 0.0002916598)
( 0.0068367721, 0.0003217667)
( 0.0070809425, 0.0003368201)
( 0.0073251129, 0.0003669269)
( 0.0075692834, 0.0003970337)
( 0.0078134538, 0.0004572474)
( 0.0080576242, 0.0004610107)
( 0.0083017947, 0.0004685374)
( 0.0085459651, 0.0004760641)
( 0.0087901355, 0.0004911175)
( 0.0090343059, 0.0004986443)
( 0.0092784764, 0.0005136977)
( 0.0095226468, 0.0005287511)
( 0.0097668172, 0.0005588579)
( 0.0100109877, 0.0005663846)
( 0.0102551581, 0.0005814380)
( 0.0104993285, 0.0005964914)
( 0.0107434990, 0.0006265982)
( 0.0109876694, 0.0006416517)
( 0.0112318398, 0.0006717585)
( 0.0114760103, 0.0007018653)
( 0.0117201807, 0.0007620790)
( 0.0119643511, 0.0007696057)
( 0.0122085215, 0.0007846591)
( 0.0124526920, 0.0007997125)
( 0.0126968624, 0.0008298193)
( 0.0129410328, 0.0008448727)
( 0.0131852033, 0.0008749795)
( 0.0134293737, 0.0009050864)
( 0.0136735441, 0.0009653000)
( 0.0139177146, 0.0009803534)
( 0.0141618850, 0.0010104602)
( 0.0144060554, 0.0010405671)
( 0.0146502259, 0.0011007807)
( 0.0148943963, 0.0011308875)
( 0.0151385667, 0.0011911012)
( 0.0153827372, 0.0012513148)
( 0.0156269076, 0.0013717421)
( 0.0158710780, 0.0013755055)
( 0.0161152484, 0.0013830322)
( 0.0163594189, 0.0013905589)
( 0.0166035893, 0.0014056123)
( 0.0168477597, 0.0014131390)
( 0.0170919302, 0.0014281924)
( 0.0173361006, 0.0014432458)
( 0.0175802710, 0.0014733526)
( 0.0178244415, 0.0014808793)
( 0.0180686119, 0.0014959328)
( 0.0183127823, 0.0015109862)
( 0.0185569528, 0.0015410930)
( 0.0188011232, 0.0015561464)
( 0.0190452936, 0.0015862532)
( 0.0192894640, 0.0016163600)
( 0.0195336345, 0.0016765737)
( 0.0197778049, 0.0016841004)
( 0.0200219753, 0.0016991538)
( 0.0202661458, 0.0017142072)
( 0.0205103162, 0.0017443140)
( 0.0207544866, 0.0017593675)
( 0.0209986571, 0.0017894743)
( 0.0212428275, 0.0018195811)
( 0.0214869979, 0.0018797947)
( 0.0217311684, 0.0018948482)
( 0.0219753388, 0.0019249550)
( 0.0222195092, 0.0019550618)
( 0.0224636796, 0.0020152754)
( 0.0227078501, 0.0020453823)
( 0.0229520205, 0.0021055959)
( 0.0231961909, 0.0021658096)
( 0.0234403614, 0.0022862369)
( 0.0236845318, 0.0022937636)
( 0.0239287022, 0.0023088170)
( 0.0241728727, 0.0023238704)
( 0.0244170431, 0.0023539772)
( 0.0246612135, 0.0023690306)
( 0.0249053840, 0.0023991374)
( 0.0251495544, 0.0024292443)
( 0.0253937248, 0.0024894579)
( 0.0256378953, 0.0025045113)
( 0.0258820657, 0.0025346181)
( 0.0261262361, 0.0025647250)
( 0.0263704065, 0.0026249386)
( 0.0266145770, 0.0026550454)
( 0.0268587474, 0.0027152591)
( 0.0271029178, 0.0027754727)
( 0.0273470883, 0.0028959000)
( 0.0275912587, 0.0029109534)
( 0.0278354291, 0.0029410602)
( 0.0280795996, 0.0029711671)
( 0.0283237700, 0.0030313807)
( 0.0285679404, 0.0030614875)
( 0.0288121109, 0.0031217012)
( 0.0290562813, 0.0031819148)
( 0.0293004517, 0.0033023421)
( 0.0295446221, 0.0033324489)
( 0.0297887926, 0.0033926626)
( 0.0300329630, 0.0034528762)
( 0.0302771334, 0.0035733035)
( 0.0305213039, 0.0036335172)
( 0.0307654743, 0.0037539445)
( 0.0310096447, 0.0038743718)
( 0.0312538152, 0.0041152263)
( 0.0314979856, 0.0041189897)
( 0.0317421560, 0.0041265164)
( 0.0319863265, 0.0041340431)
( 0.0322304969, 0.0041490965)
( 0.0324746673, 0.0041566232)
( 0.0327188377, 0.0041716766)
( 0.0329630082, 0.0041867300)
( 0.0332071786, 0.0042168369)
( 0.0334513490, 0.0042243636)
( 0.0336955195, 0.0042394170)
( 0.0339396899, 0.0042544704)
( 0.0341838603, 0.0042845772)
( 0.0344280308, 0.0042996306)
( 0.0346722012, 0.0043297374)
( 0.0349163716, 0.0043598443)
( 0.0351605421, 0.0044200579)
( 0.0354047125, 0.0044275846)
( 0.0356488829, 0.0044426380)
( 0.0358930534, 0.0044576914)
( 0.0361372238, 0.0044877983)
( 0.0363813942, 0.0045028517)
( 0.0366255646, 0.0045329585)
( 0.0368697351, 0.0045630653)
( 0.0371139055, 0.0046232790)
( 0.0373580759, 0.0046383324)
( 0.0376022464, 0.0046684392)
( 0.0378464168, 0.0046985460)
( 0.0380905872, 0.0047587597)
( 0.0383347577, 0.0047888665)
( 0.0385789281, 0.0048490801)
( 0.0388230985, 0.0049092938)
( 0.0390672690, 0.0050297211)
( 0.0393114394, 0.0050372478)
( 0.0395556098, 0.0050523012)
( 0.0397997802, 0.0050673546)
( 0.0400439507, 0.0050974614)
( 0.0402881211, 0.0051125148)
( 0.0405322915, 0.0051426217)
( 0.0407764620, 0.0051727285)
( 0.0410206324, 0.0052329421)
( 0.0412648028, 0.0052479955)
( 0.0415089733, 0.0052781024)
( 0.0417531437, 0.0053082092)
( 0.0419973141, 0.0053684228)
( 0.0422414846, 0.0053985297)
( 0.0424856550, 0.0054587433)
( 0.0427298254, 0.0055189569)
( 0.0429739958, 0.0056393842)
( 0.0432181663, 0.0056544377)
( 0.0434623367, 0.0056845445)
( 0.0437065071, 0.0057146513)
( 0.0439506776, 0.0057748649)
( 0.0441948480, 0.0058049718)
( 0.0444390184, 0.0058651854)
( 0.0446831889, 0.0059253991)
( 0.0449273593, 0.0060458263)
( 0.0451715297, 0.0060759332)
( 0.0454157002, 0.0061361468)
( 0.0456598706, 0.0061963605)
( 0.0459040410, 0.0063167878)
( 0.0461482115, 0.0063770014)
( 0.0463923819, 0.0064974287)
( 0.0466365523, 0.0066178560)
( 0.0468807227, 0.0068587106)
( 0.0471248932, 0.0068662373)
( 0.0473690636, 0.0068812907)
( 0.0476132340, 0.0068963441)
( 0.0478574045, 0.0069264509)
( 0.0481015749, 0.0069415043)
( 0.0483457453, 0.0069716111)
( 0.0485899158, 0.0070017180)
( 0.0488340862, 0.0070619316)
( 0.0490782566, 0.0070769850)
( 0.0493224271, 0.0071070919)
( 0.0495665975, 0.0071371987)
( 0.0498107679, 0.0071974123)
( 0.0500549383, 0.0072275191)
( 0.0502991088, 0.0072877328)
( 0.0505432792, 0.0073479464)
( 0.0507874496, 0.0074683737)
( 0.0510316201, 0.0074834271)
( 0.0512757905, 0.0075135340)
( 0.0515199609, 0.0075436408)
( 0.0517641314, 0.0076038544)
( 0.0520083018, 0.0076339612)
( 0.0522524722, 0.0076941749)
( 0.0524966427, 0.0077543885)
( 0.0527408131, 0.0078748158)
( 0.0529849835, 0.0079049227)
( 0.0532291539, 0.0079651363)
( 0.0534733244, 0.0080253499)
( 0.0537174948, 0.0081457772)
( 0.0539616652, 0.0082059909)
( 0.0542058357, 0.0083264182)
( 0.0544500061, 0.0084468455)
( 0.0546941765, 0.0086877000)
( 0.0549383470, 0.0087027535)
( 0.0551825174, 0.0087328603)
( 0.0554266878, 0.0087629671)
( 0.0556708583, 0.0088231807)
( 0.0559150287, 0.0088532876)
( 0.0561591991, 0.0089135012)
( 0.0564033696, 0.0089737149)
( 0.0566475400, 0.0090941422)
( 0.0568917104, 0.0091242490)
( 0.0571358808, 0.0091844626)
( 0.0573800513, 0.0092446763)
( 0.0576242217, 0.0093651036)
( 0.0578683921, 0.0094253172)
( 0.0581125626, 0.0095457445)
( 0.0583567330, 0.0096661718)
( 0.0586009034, 0.0099070264)
( 0.0588450739, 0.0099371332)
( 0.0590892443, 0.0099973468)
( 0.0593334147, 0.0100575605)
( 0.0595775852, 0.0101779878)
( 0.0598217556, 0.0102382014)
( 0.0600659260, 0.0103586287)
( 0.0603100964, 0.0104790560)
( 0.0605542669, 0.0107199106)
( 0.0607984373, 0.0107801242)
( 0.0610426077, 0.0109005515)
( 0.0612867782, 0.0110209788)
( 0.0615309486, 0.0112618334)
( 0.0617751190, 0.0113822607)
( 0.0620192895, 0.0116231153)
( 0.0622634599, 0.0118639698)
( 0.0625076303, 0.0123456790)
( 0.0627518008, 0.0123494424)
( 0.0629959712, 0.0123569691)
( 0.0632401416, 0.0123644958)
( 0.0634843120, 0.0123795492)
( 0.0637284825, 0.0123870759)
( 0.0639726529, 0.0124021293)
( 0.0642168233, 0.0124171827)
( 0.0644609938, 0.0124472895)
( 0.0647051642, 0.0124548162)
( 0.0649493346, 0.0124698697)
( 0.0651935051, 0.0124849231)
( 0.0654376755, 0.0125150299)
( 0.0656818459, 0.0125300833)
( 0.0659260164, 0.0125601901)
( 0.0661701868, 0.0125902969)
( 0.0664143572, 0.0126505106)
( 0.0666585277, 0.0126580373)
( 0.0669026981, 0.0126730907)
( 0.0671468685, 0.0126881441)
( 0.0673910389, 0.0127182509)
( 0.0676352094, 0.0127333044)
( 0.0678793798, 0.0127634112)
( 0.0681235502, 0.0127935180)
( 0.0683677207, 0.0128537316)
( 0.0686118911, 0.0128687851)
( 0.0688560615, 0.0128988919)
( 0.0691002320, 0.0129289987)
( 0.0693444024, 0.0129892123)
( 0.0695885728, 0.0130193192)
( 0.0698327433, 0.0130795328)
( 0.0700769137, 0.0131397465)
( 0.0703210841, 0.0132601738)
( 0.0705652545, 0.0132677005)
( 0.0708094250, 0.0132827539)
( 0.0710535954, 0.0132978073)
( 0.0712977658, 0.0133279141)
( 0.0715419363, 0.0133429675)
( 0.0717861067, 0.0133730743)
( 0.0720302771, 0.0134031812)
( 0.0722744476, 0.0134633948)
( 0.0725186180, 0.0134784482)
( 0.0727627884, 0.0135085550)
( 0.0730069589, 0.0135386619)
( 0.0732511293, 0.0135988755)
( 0.0734952997, 0.0136289823)
( 0.0737394702, 0.0136891960)
( 0.0739836406, 0.0137494096)
( 0.0742278110, 0.0138698369)
( 0.0744719814, 0.0138848903)
( 0.0747161519, 0.0139149971)
( 0.0749603223, 0.0139451040)
( 0.0752044927, 0.0140053176)
( 0.0754486632, 0.0140354244)
( 0.0756928336, 0.0140956381)
( 0.0759370040, 0.0141558517)
( 0.0761811745, 0.0142762790)
( 0.0764253449, 0.0143063858)
( 0.0766695153, 0.0143665995)
( 0.0769136858, 0.0144268131)
( 0.0771578562, 0.0145472404)
( 0.0774020266, 0.0146074541)
( 0.0776461970, 0.0147278814)
( 0.0778903675, 0.0148483087)
( 0.0781345379, 0.0150891632)
( 0.0783787083, 0.0150966899)
( 0.0786228788, 0.0151117434)
( 0.0788670492, 0.0151267968)
( 0.0791112196, 0.0151569036)
( 0.0793553901, 0.0151719570)
( 0.0795995605, 0.0152020638)
( 0.0798437309, 0.0152321706)
( 0.0800879014, 0.0152923843)
( 0.0803320718, 0.0153074377)
( 0.0805762422, 0.0153375445)
( 0.0808204126, 0.0153676513)
( 0.0810645831, 0.0154278650)
( 0.0813087535, 0.0154579718)
( 0.0815529239, 0.0155181855)
( 0.0817970944, 0.0155783991)
( 0.0820412648, 0.0156988264)
( 0.0822854352, 0.0157138798)
( 0.0825296057, 0.0157439866)
( 0.0827737761, 0.0157740935)
( 0.0830179465, 0.0158343071)
( 0.0832621170, 0.0158644139)
( 0.0835062874, 0.0159246276)
( 0.0837504578, 0.0159848412)
( 0.0839946283, 0.0161052685)
( 0.0842387987, 0.0161353753)
( 0.0844829691, 0.0161955890)
( 0.0847271395, 0.0162558026)
( 0.0849713100, 0.0163762299)
( 0.0852154804, 0.0164364436)
( 0.0854596508, 0.0165568708)
( 0.0857038213, 0.0166772981)
( 0.0859479917, 0.0169181527)
( 0.0861921621, 0.0169332061)
( 0.0864363326, 0.0169633130)
( 0.0866805030, 0.0169934198)
( 0.0869246734, 0.0170536334)
( 0.0871688439, 0.0170837402)
( 0.0874130143, 0.0171439539)
( 0.0876571847, 0.0172041675)
( 0.0879013551, 0.0173245948)
( 0.0881455256, 0.0173547017)
( 0.0883896960, 0.0174149153)
( 0.0886338664, 0.0174751289)
( 0.0888780369, 0.0175955562)
( 0.0891222073, 0.0176557699)
( 0.0893663777, 0.0177761972)
( 0.0896105482, 0.0178966245)
( 0.0898547186, 0.0181374790)
( 0.0900988890, 0.0181675859)
( 0.0903430595, 0.0182277995)
( 0.0905872299, 0.0182880132)
( 0.0908314003, 0.0184084404)
( 0.0910755707, 0.0184686541)
( 0.0913197412, 0.0185890814)
( 0.0915639116, 0.0187095087)
( 0.0918080820, 0.0189503633)
( 0.0920522525, 0.0190105769)
( 0.0922964229, 0.0191310042)
( 0.0925405933, 0.0192514315)
( 0.0927847638, 0.0194922861)
( 0.0930289342, 0.0196127134)
( 0.0932731046, 0.0198535679)
( 0.0935172751, 0.0200944225)
( 0.0937614455, 0.0205761317)
( 0.0940056159, 0.0205836584)
( 0.0942497864, 0.0205987118)
( 0.0944939568, 0.0206137652)
( 0.0947381272, 0.0206438720)
( 0.0949822976, 0.0206589254)
( 0.0952264681, 0.0206890323)
( 0.0954706385, 0.0207191391)
( 0.0957148089, 0.0207793527)
( 0.0959589794, 0.0207944062)
( 0.0962031498, 0.0208245130)
( 0.0964473202, 0.0208546198)
( 0.0966914907, 0.0209148334)
( 0.0969356611, 0.0209449403)
( 0.0971798315, 0.0210051539)
( 0.0974240020, 0.0210653676)
( 0.0976681724, 0.0211857948)
( 0.0979123428, 0.0212008483)
( 0.0981565132, 0.0212309551)
( 0.0984006837, 0.0212610619)
( 0.0986448541, 0.0213212756)
( 0.0988890245, 0.0213513824)
( 0.0991331950, 0.0214115960)
( 0.0993773654, 0.0214718097)
( 0.0996215358, 0.0215922370)
( 0.0998657063, 0.0216223438)
( 0.1001098767, 0.0216825574)
( 0.1003540471, 0.0217427711)
( 0.1005982176, 0.0218631984)
( 0.1008423880, 0.0219234120)
( 0.1010865584, 0.0220438393)
( 0.1013307288, 0.0221642666)
( 0.1015748993, 0.0224051212)
( 0.1018190697, 0.0224201746)
( 0.1020632401, 0.0224502814)
( 0.1023074106, 0.0224803882)
( 0.1025515810, 0.0225406019)
( 0.1027957514, 0.0225707087)
( 0.1030399219, 0.0226309223)
( 0.1032840923, 0.0226911360)
( 0.1035282627, 0.0228115633)
( 0.1037724332, 0.0228416701)
( 0.1040166036, 0.0229018837)
( 0.1042607740, 0.0229620974)
( 0.1045049445, 0.0230825247)
( 0.1047491149, 0.0231427383)
( 0.1049932853, 0.0232631656)
( 0.1052374557, 0.0233835929)
( 0.1054816262, 0.0236244475)
( 0.1057257966, 0.0236545543)
( 0.1059699670, 0.0237147680)
( 0.1062141375, 0.0237749816)
( 0.1064583079, 0.0238954089)
( 0.1067024783, 0.0239556225)
( 0.1069466488, 0.0240760498)
( 0.1071908192, 0.0241964771)
( 0.1074349896, 0.0244373317)
( 0.1076791601, 0.0244975454)
( 0.1079233305, 0.0246179726)
( 0.1081675009, 0.0247383999)
( 0.1084116713, 0.0249792545)
( 0.1086558418, 0.0250996818)
( 0.1089000122, 0.0253405364)
( 0.1091441826, 0.0255813910)
( 0.1093883531, 0.0260631001)
( 0.1096325235, 0.0260781535)
( 0.1098766939, 0.0261082604)
( 0.1101208644, 0.0261383672)
( 0.1103650348, 0.0261985808)
( 0.1106092052, 0.0262286877)
( 0.1108533757, 0.0262889013)
( 0.1110975461, 0.0263491150)
( 0.1113417165, 0.0264695422)
( 0.1115858869, 0.0264996491)
( 0.1118300574, 0.0265598627)
( 0.1120742278, 0.0266200764)
( 0.1123183982, 0.0267405036)
( 0.1125625687, 0.0268007173)
( 0.1128067391, 0.0269211446)
( 0.1130509095, 0.0270415719)
( 0.1132950800, 0.0272824265)
( 0.1135392504, 0.0273125333)
( 0.1137834208, 0.0273727469)
( 0.1140275913, 0.0274329606)
( 0.1142717617, 0.0275533879)
( 0.1145159321, 0.0276136015)
( 0.1147601026, 0.0277340288)
( 0.1150042730, 0.0278544561)
( 0.1152484434, 0.0280953107)
( 0.1154926138, 0.0281555243)
( 0.1157367843, 0.0282759516)
( 0.1159809547, 0.0283963789)
( 0.1162251251, 0.0286372335)
( 0.1164692956, 0.0287576608)
( 0.1167134660, 0.0289985154)
( 0.1169576364, 0.0292393699)
( 0.1172018069, 0.0297210791)
( 0.1174459773, 0.0297511859)
( 0.1176901477, 0.0298113996)
( 0.1179343182, 0.0298716132)
( 0.1181784886, 0.0299920405)
( 0.1184226590, 0.0300522542)
( 0.1186668294, 0.0301726814)
( 0.1189109999, 0.0302931087)
( 0.1191551703, 0.0305339633)
( 0.1193993407, 0.0305941770)
( 0.1196435112, 0.0307146043)
( 0.1198876816, 0.0308350315)
( 0.1201318520, 0.0310758861)
( 0.1203760225, 0.0311963134)
( 0.1206201929, 0.0314371680)
( 0.1208643633, 0.0316780226)
( 0.1211085338, 0.0321597317)
( 0.1213527042, 0.0322199454)
( 0.1215968746, 0.0323403727)
( 0.1218410450, 0.0324608000)
( 0.1220852155, 0.0327016546)
( 0.1223293859, 0.0328220818)
( 0.1225735563, 0.0330629364)
( 0.1228177268, 0.0333037910)
( 0.1230618972, 0.0337855002)
( 0.1233060676, 0.0339059275)
( 0.1235502381, 0.0341467821)
( 0.1237944085, 0.0343876366)
( 0.1240385789, 0.0348693458)
( 0.1242827494, 0.0351102004)
( 0.1245269198, 0.0355919095)
( 0.1247710902, 0.0360736187)
( 0.1250152607, 0.0370370370)
( 0.1252594311, 0.0370408004)
( 0.1255036015, 0.0370483271)
( 0.1257477719, 0.0370558538)
( 0.1259919424, 0.0370709072)
( 0.1262361128, 0.0370784339)
( 0.1264802832, 0.0370934873)
( 0.1267244537, 0.0371085407)
( 0.1269686241, 0.0371386476)
( 0.1272127945, 0.0371461743)
( 0.1274569650, 0.0371612277)
( 0.1277011354, 0.0371762811)
( 0.1279453058, 0.0372063879)
( 0.1281894763, 0.0372214413)
( 0.1284336467, 0.0372515481)
( 0.1286778171, 0.0372816550)
( 0.1289219875, 0.0373418686)
( 0.1291661580, 0.0373493953)
( 0.1294103284, 0.0373644487)
( 0.1296544988, 0.0373795021)
( 0.1298986693, 0.0374096090)
( 0.1301428397, 0.0374246624)
( 0.1303870101, 0.0374547692)
( 0.1306311806, 0.0374848760)
( 0.1308753510, 0.0375450897)
( 0.1311195214, 0.0375601431)
( 0.1313636919, 0.0375902499)
( 0.1316078623, 0.0376203567)
( 0.1318520327, 0.0376805704)
( 0.1320962031, 0.0377106772)
( 0.1323403736, 0.0377708908)
( 0.1325845440, 0.0378311045)
( 0.1328287144, 0.0379515318)
( 0.1330728849, 0.0379590585)
( 0.1333170553, 0.0379741119)
( 0.1335612257, 0.0379891653)
( 0.1338053962, 0.0380192721)
( 0.1340495666, 0.0380343255)
( 0.1342937370, 0.0380644324)
( 0.1345379075, 0.0380945392)
( 0.1347820779, 0.0381547528)
( 0.1350262483, 0.0381698062)
( 0.1352704188, 0.0381999131)
( 0.1355145892, 0.0382300199)
( 0.1357587596, 0.0382902335)
( 0.1360029300, 0.0383203404)
( 0.1362471005, 0.0383805540)
( 0.1364912709, 0.0384407676)
( 0.1367354413, 0.0385611949)
( 0.1369796118, 0.0385762484)
( 0.1372237822, 0.0386063552)
( 0.1374679526, 0.0386364620)
( 0.1377121231, 0.0386966756)
( 0.1379562935, 0.0387267825)
( 0.1382004639, 0.0387869961)
( 0.1384446344, 0.0388472098)
( 0.1386888048, 0.0389676370)
( 0.1389329752, 0.0389977439)
( 0.1391771456, 0.0390579575)
( 0.1394213161, 0.0391181712)
( 0.1396654865, 0.0392385985)
( 0.1399096569, 0.0392988121)
( 0.1401538274, 0.0394192394)
( 0.1403979978, 0.0395396667)
( 0.1406421682, 0.0397805213)
( 0.1408863387, 0.0397880480)
( 0.1411305091, 0.0398031014)
( 0.1413746795, 0.0398181548)
( 0.1416188500, 0.0398482616)
( 0.1418630204, 0.0398633150)
( 0.1421071908, 0.0398934218)
( 0.1423513613, 0.0399235287)
( 0.1425955317, 0.0399837423)
( 0.1428397021, 0.0399987957)
( 0.1430838725, 0.0400289025)
( 0.1433280430, 0.0400590094)
( 0.1435722134, 0.0401192230)
( 0.1438163838, 0.0401493298)
( 0.1440605543, 0.0402095435)
( 0.1443047247, 0.0402697571)
( 0.1445488951, 0.0403901844)
( 0.1447930656, 0.0404052378)
( 0.1450372360, 0.0404353447)
( 0.1452814064, 0.0404654515)
( 0.1455255769, 0.0405256651)
( 0.1457697473, 0.0405557719)
( 0.1460139177, 0.0406159856)
( 0.1462580881, 0.0406761992)
( 0.1465022586, 0.0407966265)
( 0.1467464290, 0.0408267334)
( 0.1469905994, 0.0408869470)
( 0.1472347699, 0.0409471606)
( 0.1474789403, 0.0410675879)
( 0.1477231107, 0.0411278016)
( 0.1479672812, 0.0412482289)
( 0.1482114516, 0.0413686562)
( 0.1484556220, 0.0416095107)
( 0.1486997925, 0.0416245642)
( 0.1489439629, 0.0416546710)
( 0.1491881333, 0.0416847778)
( 0.1494323037, 0.0417449914)
( 0.1496764742, 0.0417750983)
