%========================================================================
% Daniel J. Greenhoe 
% file: arbitrary_coef3_phi.dat 
% number of data points = 8192
% Arbitrary 3 coefficient scaling function 
% 2021 August 23 Monday  (GMT) 
% The command \fileplot{arbitrary_coef3_phi.dat} may be used in a LaTeX environment for plotting data.
% \fileplot is available in the LaTeX PSTricks package.
% Reference: http://www.ctan.org/pkg/pstricks
%========================================================================
[
( 0.0000000000, 0.0000000000)
( 0.0002441704, 0.0077073466)
( 0.0004883409, 0.0115610199)
( 0.0007325113, 0.0154146933)
( 0.0009766817, 0.0173415299)
( 0.0012208522, 0.0211952032)
( 0.0014650226, 0.0231220399)
( 0.0017091930, 0.0250488765)
( 0.0019533634, 0.0260122949)
( 0.0021975339, 0.0298659682)
( 0.0024417043, 0.0317928048)
( 0.0026858747, 0.0337196415)
( 0.0029300452, 0.0346830598)
( 0.0031742156, 0.0366098965)
( 0.0034183860, 0.0375733148)
( 0.0036625565, 0.0385367331)
( 0.0039067269, 0.0390184423)
( 0.0041508973, 0.0428721156)
( 0.0043950678, 0.0447989523)
( 0.0046392382, 0.0467257889)
( 0.0048834086, 0.0476892073)
( 0.0051275791, 0.0496160439)
( 0.0053717495, 0.0505794623)
( 0.0056159199, 0.0515428806)
( 0.0058600903, 0.0520245897)
( 0.0061042608, 0.0539514264)
( 0.0063484312, 0.0549148447)
( 0.0065926016, 0.0558782631)
( 0.0068367721, 0.0563599722)
( 0.0070809425, 0.0573233906)
( 0.0073251129, 0.0578050997)
( 0.0075692834, 0.0582868089)
( 0.0078134538, 0.0585276635)
( 0.0080576242, 0.0623813368)
( 0.0083017947, 0.0643081734)
( 0.0085459651, 0.0662350101)
( 0.0087901355, 0.0671984284)
( 0.0090343059, 0.0691252651)
( 0.0092784764, 0.0700886834)
( 0.0095226468, 0.0710521017)
( 0.0097668172, 0.0715338109)
( 0.0100109877, 0.0734606476)
( 0.0102551581, 0.0744240659)
( 0.0104993285, 0.0753874842)
( 0.0107434990, 0.0758691934)
( 0.0109876694, 0.0768326117)
( 0.0112318398, 0.0773143209)
( 0.0114760103, 0.0777960300)
( 0.0117201807, 0.0780368846)
( 0.0119643511, 0.0799637213)
( 0.0122085215, 0.0809271396)
( 0.0124526920, 0.0818905579)
( 0.0126968624, 0.0823722671)
( 0.0129410328, 0.0833356854)
( 0.0131852033, 0.0838173946)
( 0.0134293737, 0.0842991038)
( 0.0136735441, 0.0845399583)
( 0.0139177146, 0.0855033767)
( 0.0141618850, 0.0859850858)
( 0.0144060554, 0.0864667950)
( 0.0146502259, 0.0867076496)
( 0.0148943963, 0.0871893587)
( 0.0151385667, 0.0874302133)
( 0.0153827372, 0.0876710679)
( 0.0156269076, 0.0877914952)
( 0.0158710780, 0.0916451685)
( 0.0161152484, 0.0935720052)
( 0.0163594189, 0.0954988418)
( 0.0166035893, 0.0964622602)
( 0.0168477597, 0.0983890968)
( 0.0170919302, 0.0993525151)
( 0.0173361006, 0.1003159335)
( 0.0175802710, 0.1007976426)
( 0.0178244415, 0.1027244793)
( 0.0180686119, 0.1036878976)
( 0.0183127823, 0.1046513160)
( 0.0185569528, 0.1051330251)
( 0.0188011232, 0.1060964434)
( 0.0190452936, 0.1065781526)
( 0.0192894640, 0.1070598618)
( 0.0195336345, 0.1073007164)
( 0.0197778049, 0.1092275530)
( 0.0200219753, 0.1101909713)
( 0.0202661458, 0.1111543897)
( 0.0205103162, 0.1116360988)
( 0.0207544866, 0.1125995172)
( 0.0209986571, 0.1130812263)
( 0.0212428275, 0.1135629355)
( 0.0214869979, 0.1138037901)
( 0.0217311684, 0.1147672084)
( 0.0219753388, 0.1152489176)
( 0.0222195092, 0.1157306267)
( 0.0224636796, 0.1159714813)
( 0.0227078501, 0.1164531905)
( 0.0229520205, 0.1166940451)
( 0.0231961909, 0.1169348996)
( 0.0234403614, 0.1170553269)
( 0.0236845318, 0.1189821636)
( 0.0239287022, 0.1199455819)
( 0.0241728727, 0.1209090002)
( 0.0244170431, 0.1213907094)
( 0.0246612135, 0.1223541277)
( 0.0249053840, 0.1228358369)
( 0.0251495544, 0.1233175461)
( 0.0253937248, 0.1235584007)
( 0.0256378953, 0.1245218190)
( 0.0258820657, 0.1250035281)
( 0.0261262361, 0.1254852373)
( 0.0263704065, 0.1257260919)
( 0.0266145770, 0.1262078011)
( 0.0268587474, 0.1264486556)
( 0.0271029178, 0.1266895102)
( 0.0273470883, 0.1268099375)
( 0.0275912587, 0.1277733558)
( 0.0278354291, 0.1282550650)
( 0.0280795996, 0.1287367742)
( 0.0283237700, 0.1289776287)
( 0.0285679404, 0.1294593379)
( 0.0288121109, 0.1297001925)
( 0.0290562813, 0.1299410471)
( 0.0293004517, 0.1300614744)
( 0.0295446221, 0.1305431835)
( 0.0297887926, 0.1307840381)
( 0.0300329630, 0.1310248927)
( 0.0302771334, 0.1311453200)
( 0.0305213039, 0.1313861746)
( 0.0307654743, 0.1315066019)
( 0.0310096447, 0.1316270292)
( 0.0312538152, 0.1316872428)
( 0.0314979856, 0.1355409161)
( 0.0317421560, 0.1374677528)
( 0.0319863265, 0.1393945894)
( 0.0322304969, 0.1403580078)
( 0.0324746673, 0.1422848444)
( 0.0327188377, 0.1432482627)
( 0.0329630082, 0.1442116811)
( 0.0332071786, 0.1446933902)
( 0.0334513490, 0.1466202269)
( 0.0336955195, 0.1475836452)
( 0.0339396899, 0.1485470635)
( 0.0341838603, 0.1490287727)
( 0.0344280308, 0.1499921910)
( 0.0346722012, 0.1504739002)
( 0.0349163716, 0.1509556094)
( 0.0351605421, 0.1511964640)
( 0.0354047125, 0.1531233006)
( 0.0356488829, 0.1540867189)
( 0.0358930534, 0.1550501373)
( 0.0361372238, 0.1555318464)
( 0.0363813942, 0.1564952648)
