%========================================================================
% Daniel J. Greenhoe 
% file: arbitrary_coef3_psi.dat 
% number of data points = 8192
% Arbitrary 3 coefficient wavelet function 
% 2021 August 23 Monday  (GMT) 
% The command \fileplot{arbitrary_coef3_psi.dat} may be used in a LaTeX environment for plotting data.
% \fileplot is available in the LaTeX PSTricks package.
% Reference: http://www.ctan.org/pkg/pstricks
%========================================================================
[
( 0.0000000000, 0.0000000000)
( 0.0002441704, 0.0038536733)
( 0.0004883409, 0.0057805100)
( 0.0007325113, 0.0077073466)
( 0.0009766817, 0.0086707650)
( 0.0012208522, 0.0105976016)
( 0.0014650226, 0.0115610199)
( 0.0017091930, 0.0125244383)
( 0.0019533634, 0.0130061474)
( 0.0021975339, 0.0149329841)
( 0.0024417043, 0.0158964024)
( 0.0026858747, 0.0168598208)
( 0.0029300452, 0.0173415299)
( 0.0031742156, 0.0183049482)
( 0.0034183860, 0.0187866574)
( 0.0036625565, 0.0192683666)
( 0.0039067269, 0.0195092212)
( 0.0041508973, 0.0214360578)
( 0.0043950678, 0.0223994761)
( 0.0046392382, 0.0233628945)
( 0.0048834086, 0.0238446036)
( 0.0051275791, 0.0248080220)
( 0.0053717495, 0.0252897311)
( 0.0056159199, 0.0257714403)
( 0.0058600903, 0.0260122949)
( 0.0061042608, 0.0269757132)
( 0.0063484312, 0.0274574224)
( 0.0065926016, 0.0279391315)
( 0.0068367721, 0.0281799861)
( 0.0070809425, 0.0286616953)
( 0.0073251129, 0.0289025499)
( 0.0075692834, 0.0291434044)
( 0.0078134538, 0.0292638317)
( 0.0080576242, 0.0311906684)
( 0.0083017947, 0.0321540867)
( 0.0085459651, 0.0331175050)
( 0.0087901355, 0.0335992142)
( 0.0090343059, 0.0345626325)
( 0.0092784764, 0.0350443417)
( 0.0095226468, 0.0355260509)
( 0.0097668172, 0.0357669055)
( 0.0100109877, 0.0367303238)
( 0.0102551581, 0.0372120329)
( 0.0104993285, 0.0376937421)
( 0.0107434990, 0.0379345967)
( 0.0109876694, 0.0384163059)
( 0.0112318398, 0.0386571604)
( 0.0114760103, 0.0388980150)
( 0.0117201807, 0.0390184423)
( 0.0119643511, 0.0399818606)
( 0.0122085215, 0.0404635698)
( 0.0124526920, 0.0409452790)
( 0.0126968624, 0.0411861336)
( 0.0129410328, 0.0416678427)
( 0.0131852033, 0.0419086973)
( 0.0134293737, 0.0421495519)
( 0.0136735441, 0.0422699792)
( 0.0139177146, 0.0427516883)
( 0.0141618850, 0.0429925429)
( 0.0144060554, 0.0432333975)
( 0.0146502259, 0.0433538248)
( 0.0148943963, 0.0435946794)
( 0.0151385667, 0.0437151067)
( 0.0153827372, 0.0438355340)
( 0.0156269076, 0.0438957476)
( 0.0158710780, 0.0458225843)
( 0.0161152484, 0.0467860026)
( 0.0163594189, 0.0477494209)
( 0.0166035893, 0.0482311301)
( 0.0168477597, 0.0491945484)
( 0.0170919302, 0.0496762576)
( 0.0173361006, 0.0501579667)
( 0.0175802710, 0.0503988213)
( 0.0178244415, 0.0513622396)
( 0.0180686119, 0.0518439488)
( 0.0183127823, 0.0523256580)
( 0.0185569528, 0.0525665126)
( 0.0188011232, 0.0530482217)
( 0.0190452936, 0.0532890763)
( 0.0192894640, 0.0535299309)
( 0.0195336345, 0.0536503582)
( 0.0197778049, 0.0546137765)
( 0.0200219753, 0.0550954857)
( 0.0202661458, 0.0555771948)
( 0.0205103162, 0.0558180494)
( 0.0207544866, 0.0562997586)
( 0.0209986571, 0.0565406132)
( 0.0212428275, 0.0567814677)
( 0.0214869979, 0.0569018950)
( 0.0217311684, 0.0573836042)
( 0.0219753388, 0.0576244588)
( 0.0222195092, 0.0578653134)
( 0.0224636796, 0.0579857407)
( 0.0227078501, 0.0582265952)
( 0.0229520205, 0.0583470225)
( 0.0231961909, 0.0584674498)
( 0.0234403614, 0.0585276635)
( 0.0236845318, 0.0594910818)
( 0.0239287022, 0.0599727910)
( 0.0241728727, 0.0604545001)
( 0.0244170431, 0.0606953547)
( 0.0246612135, 0.0611770639)
( 0.0249053840, 0.0614179185)
( 0.0251495544, 0.0616587730)
( 0.0253937248, 0.0617792003)
( 0.0256378953, 0.0622609095)
( 0.0258820657, 0.0625017641)
( 0.0261262361, 0.0627426187)
( 0.0263704065, 0.0628630459)
( 0.0266145770, 0.0631039005)
( 0.0268587474, 0.0632243278)
( 0.0271029178, 0.0633447551)
( 0.0273470883, 0.0634049688)
( 0.0275912587, 0.0638866779)
( 0.0278354291, 0.0641275325)
( 0.0280795996, 0.0643683871)
( 0.0283237700, 0.0644888144)
( 0.0285679404, 0.0647296690)
